participant_id,age,gender,race_ethnicity,education_level,political_affiliation,vaccine_hesitancy,trust_in_science,trust_in_government,ad_engagement_score,baseline_attitude_score
P01381,48,Male,White,High School,Liberal,2,2,1,2.7,3
P01382,34,Female,Asian,High School,Liberal,5,4,3,3.0,5
P01383,65,Male,Black,High School,Liberal,1,5,2,1.7,3
P01384,32,Other,White,Bachelor,Liberal,5,2,2,2.6,2
P01385,48,Female,White,PhD,Moderate,5,4,1,3.1,1
P01386,43,Female,White,High School,Moderate,5,1,1,3.5,5
P01387,55,Male,Hispanic,High School,Moderate,5,3,4,2.7,5
P01388,58,Female,Hispanic,Master,Liberal,4,4,3,3.3,5
P01389,40,Female,Black,Master,Conservative,1,5,1,2.6,5
P01390,30,Male,Hispanic,PhD,Conservative,1,1,2,4.3,4
P01391,45,Male,Hispanic,High School,Liberal,2,5,1,3.5,5
P01392,31,Male,Hispanic,High School,Liberal,1,3,5,2.3,4
P01393,64,Female,White,Bachelor,Liberal,5,5,4,2.5,4
P01394,41,Female,White,Bachelor,Liberal,3,4,4,3.4,3
P01395,35,Female,White,Bachelor,Moderate,1,4,3,2.5,1
P01396,42,Male,White,Bachelor,Liberal,3,1,4,1.1,3
P01397,23,Male,Black,High School,Moderate,4,3,3,3.3,4
P01398,28,Female,White,Bachelor,Liberal,2,3,5,2.6,3
P01399,54,Male,White,Bachelor,Conservative,2,2,2,3.7,2
P01400,32,Female,White,Bachelor,Liberal,2,2,5,3.0,5
P01401,27,Female,White,Bachelor,Moderate,4,4,3,3.6,5
P01402,46,Male,White,Bachelor,Liberal,5,5,3,5.0,4
P01403,54,Female,Hispanic,High School,Liberal,3,5,3,4.3,3
P01404,48,Male,Asian,High School,Conservative,1,1,2,2.6,2
P01405,51,Female,Black,Bachelor,Moderate,5,3,3,3.4,2
P01406,30,Male,White,High School,Liberal,2,4,5,3.1,2
P01407,22,Female,White,Bachelor,Moderate,2,5,2,3.3,4
P01408,58,Male,White,Master,Moderate,5,2,5,1.4,3
P01409,36,Male,Hispanic,High School,Moderate,3,4,2,4.1,2
P01410,36,Female,White,High School,Moderate,5,1,3,1.0,2
P01411,55,Male,White,Not Applicable,Conservative,4,4,2,3.0,3
P01412,46,Female,Asian,High School,Liberal,2,5,1,1.2,3
P01413,45,Male,White,High School,Liberal,3,1,5,2.3,5
P01414,65,Female,White,High School,Liberal,1,2,1,3.2,1
P01415,32,Male,White,Master,Conservative,2,2,1,3.9,1
P01416,51,Female,White,High School,Conservative,5,5,3,4.0,2
P01417,40,Male,White,Bachelor,Conservative,3,1,3,2.8,3
P01418,43,Male,White,Bachelor,Conservative,2,2,1,4.0,5
P01419,58,Male,Black,High School,Conservative,1,1,2,2.9,4
P01420,46,Female,Hispanic,High School,Moderate,1,4,3,2.3,1
P01421,46,Male,White,Master,Conservative,5,3,5,3.4,1
P01422,52,Female,Hispanic,Bachelor,Conservative,4,3,1,2.1,3
P01423,35,Female,White,High School,Liberal,5,3,5,2.9,4
P01424,29,Male,White,High School,Moderate,3,2,5,2.5,1
P01425,27,Female,White,Bachelor,Conservative,5,5,5,1.4,5
P01426,18,Male,Black,Master,Conservative,3,3,1,3.3,1
P01427,64,Male,White,High School,Conservative,4,5,4,3.1,3
P01428,26,Female,Black,Bachelor,Conservative,5,3,3,4.2,3
P01429,37,Female,Asian,High School,Conservative,1,4,5,1.1,4
P01430,36,Female,White,High School,Moderate,3,3,1,2.3,1
P01431,43,Male,Black,High School,Liberal,3,5,4,4.1,4
P01432,49,Male,Hispanic,Master,Liberal,1,2,1,3.5,1
P01433,50,Male,White,Bachelor,Moderate,5,4,3,3.7,2
P01434,33,Female,White,Master,Moderate,4,5,1,4.5,1
P01435,37,Female,Black,Bachelor,Moderate,2,1,2,2.2,3
P01436,43,Female,Black,Master,Moderate,5,3,2,2.1,3
P01437,37,Male,White,High School,Conservative,5,4,5,3.9,2
P01438,59,Male,White,High School,Liberal,3,2,1,3.6,1
P01439,45,Male,White,Not Applicable,Conservative,3,1,1,2.9,1
P01440,48,Male,White,Master,Conservative,4,3,5,2.8,3
P01441,47,Male,White,Master,Moderate,4,4,5,2.0,2
P01442,54,Female,Hispanic,High School,Moderate,4,5,4,4.6,3
P01443,42,Female,Asian,High School,Conservative,1,3,1,5.0,2
P01444,24,Female,White,Master,Conservative,2,4,3,4.1,3
P01445,44,Male,Black,High School,Liberal,2,3,3,3.7,5
P01446,32,Male,Hispanic,Bachelor,Liberal,4,4,3,3.6,1
P01447,33,Female,White,Bachelor,Liberal,3,5,5,3.3,4
P01448,47,Male,White,High School,Liberal,2,3,5,1.2,5
P01449,54,Female,White,High School,Liberal,5,4,5,2.5,3
P01450,40,Female,Hispanic,High School,Liberal,1,1,3,3.8,2
P01451,43,Male,White,High School,Moderate,3,2,4,2.2,4
P01452,60,Female,Other,Bachelor,Conservative,1,4,2,3.2,2
P01453,42,Male,White,High School,Moderate,5,4,1,4.2,2
P01454,71,Female,White,High School,Conservative,2,4,2,4.2,1
P01455,46,Female,White,PhD,Conservative,1,3,1,3.9,3
P01456,18,Male,White,Bachelor,Conservative,1,2,5,3.3,1
P01457,49,Male,Hispanic,Bachelor,Moderate,1,3,3,3.8,2
P01458,44,Female,Hispanic,Master,Liberal,5,4,2,2.8,1
P01459,55,Female,White,PhD,Conservative,3,4,5,4.7,5
P01460,48,Male,Hispanic,High School,Conservative,3,2,1,1.4,2
P01461,38,Female,Hispanic,Bachelor,Moderate,5,1,2,3.1,2
P01462,25,Male,White,Bachelor,Liberal,1,3,2,2.5,5
P01463,37,Male,Black,High School,Conservative,1,1,2,3.7,2
P01464,29,Male,White,Master,Liberal,4,4,2,2.7,4
P01465,33,Male,White,Not Applicable,Liberal,2,4,2,5.0,4
P01466,47,Male,White,Not Applicable,Conservative,2,5,5,3.9,3
P01467,60,Other,Black,High School,Moderate,3,5,1,2.0,3
P01468,44,Male,White,High School,Moderate,5,1,1,1.0,1
P01469,25,Male,Hispanic,Not Applicable,Conservative,1,5,4,1.9,1
P01470,45,Male,Hispanic,Bachelor,Moderate,2,2,3,3.6,5
P01471,54,Female,White,High School,Moderate,5,1,2,2.7,5
P01472,32,Female,White,Bachelor,Liberal,5,5,1,2.4,2
P01473,38,Male,White,High School,Liberal,1,5,3,2.3,3
P01474,40,Male,White,High School,Conservative,5,2,3,3.8,3
P01475,30,Male,White,Master,Moderate,2,2,5,2.7,3
P01476,47,Male,White,High School,Liberal,4,1,2,2.6,3
P01477,38,Male,White,High School,Liberal,2,3,4,4.0,1
P01478,45,Male,White,High School,Moderate,4,2,3,4.6,4
P01479,29,Male,White,Bachelor,Moderate,5,5,5,1.9,5
P01480,34,Female,White,High School,Moderate,2,1,2,4.2,5
P01481,48,Male,Hispanic,Bachelor,Moderate,1,3,1,2.9,3
P01482,35,Female,Hispanic,Bachelor,Liberal,5,1,4,3.9,3
P01483,60,Female,White,Master,Moderate,1,5,2,3.7,1
P01484,35,Female,White,High School,Conservative,4,3,5,3.0,1
P01485,42,Male,White,Master,Liberal,3,3,5,3.1,5
P01486,51,Male,White,High School,Moderate,3,2,5,3.7,3
P01487,22,Male,White,Bachelor,Moderate,4,4,5,1.9,3
P01488,18,Female,Black,Bachelor,Conservative,3,5,5,1.9,5
P01489,21,Male,Hispanic,High School,Liberal,5,4,4,5.0,1
P01490,55,Female,White,Master,Conservative,5,5,3,4.2,5
P01491,33,Female,Asian,High School,Moderate,2,1,3,4.0,1
P01492,70,Male,White,High School,Conservative,5,4,1,2.8,1
P01493,33,Female,White,High School,Liberal,3,3,3,1.4,1
P01494,42,Male,White,Bachelor,Conservative,1,2,5,2.5,3
P01495,58,Male,White,High School,Conservative,2,5,3,3.4,5
P01496,64,Male,White,High School,Liberal,1,2,3,4.2,1
P01497,64,Male,White,High School,Liberal,3,5,5,3.4,4
P01498,54,Female,White,Bachelor,Moderate,1,3,4,3.5,1
P01499,52,Male,White,Bachelor,Liberal,3,3,5,2.8,1
P01500,47,Male,Black,High School,Conservative,5,3,3,3.6,1
P01501,49,Female,Hispanic,High School,Liberal,2,3,3,2.1,2
P01502,33,Female,White,Bachelor,Liberal,4,3,1,3.1,4
P01503,30,Male,White,Master,Moderate,3,2,5,2.8,3
P01504,39,Female,White,Master,Liberal,5,1,1,4.4,5
P01505,37,Female,Hispanic,Master,Conservative,1,4,1,1.0,5
P01506,34,Male,White,High School,Conservative,5,2,2,2.8,5
P01507,48,Male,White,Not Applicable,Moderate,1,4,1,3.2,3
P01508,51,Male,White,High School,Conservative,1,1,3,1.1,1
P01509,41,Female,White,Not Applicable,Conservative,1,5,3,3.7,4
P01510,57,Female,White,High School,Liberal,1,1,2,2.9,5
P01511,26,Female,Hispanic,Bachelor,Conservative,2,1,2,2.0,2
P01512,37,Female,Hispanic,High School,Liberal,1,5,5,4.0,2
P01513,31,Male,White,High School,Moderate,2,4,2,2.3,4
P01514,18,Male,White,Master,Moderate,4,3,4,3.8,5
P01515,39,Male,White,Master,Conservative,2,5,3,3.2,1
P01516,38,Female,White,Not Applicable,Liberal,1,5,3,2.6,5
P01517,58,Female,Hispanic,Bachelor,Liberal,4,1,2,2.0,1
P01518,47,Male,White,Bachelor,Moderate,5,5,2,2.3,5
P01519,27,Female,White,High School,Liberal,2,2,3,3.9,2
P01520,62,Male,White,Not Applicable,Conservative,5,3,2,4.2,3
P01521,54,Male,Hispanic,Bachelor,Moderate,4,1,5,3.7,4
P01522,46,Male,Black,Bachelor,Liberal,2,4,2,3.0,1
P01523,37,Male,White,Bachelor,Liberal,1,4,2,3.7,3
P01524,28,Male,White,Bachelor,Moderate,2,4,5,3.3,1
P01525,35,Male,White,Not Applicable,Moderate,1,4,5,2.4,4
P01526,53,Male,Hispanic,High School,Liberal,3,4,5,2.1,3
P01527,62,Male,White,High School,Liberal,2,1,3,2.7,3
P01528,58,Female,White,High School,Liberal,2,2,2,2.4,4
P01529,34,Male,White,Master,Liberal,5,2,5,3.1,4
P01530,26,Female,Asian,High School,Moderate,5,4,5,4.6,1
P01531,41,Male,White,High School,Conservative,4,2,3,3.3,3
P01532,18,Male,White,High School,Moderate,1,3,4,4.5,4
P01533,43,Male,White,Bachelor,Conservative,5,2,2,3.0,1
P01534,38,Male,Black,Bachelor,Liberal,4,5,4,2.8,5
P01535,34,Female,Black,High School,Moderate,1,4,4,1.5,4
P01536,20,Male,Hispanic,Not Applicable,Moderate,1,5,5,3.6,3
P01537,46,Female,White,Not Applicable,Moderate,1,5,3,2.3,5
P01538,33,Female,White,High School,Moderate,3,4,2,2.1,4
P01539,25,Female,Hispanic,Master,Conservative,1,1,2,2.0,2
P01540,18,Female,White,Bachelor,Moderate,4,2,2,3.4,3
P01541,39,Female,Black,High School,Liberal,1,3,4,2.4,3
P01542,61,Male,Black,High School,Moderate,1,1,1,4.6,1
P01543,59,Female,White,Bachelor,Conservative,4,3,3,4.1,2
P01544,34,Male,White,Bachelor,Conservative,2,4,1,2.5,4
P01545,32,Male,Asian,High School,Moderate,1,2,4,1.0,2
P01546,45,Male,Hispanic,Master,Moderate,4,1,5,3.1,4
P01547,28,Female,White,Bachelor,Moderate,5,4,1,2.7,1
P01548,43,Female,White,Bachelor,Conservative,4,1,1,3.9,5
P01549,49,Male,White,High School,Conservative,3,5,3,3.0,2
P01550,54,Female,White,Bachelor,Conservative,5,2,4,4.2,3
P01551,38,Male,White,High School,Moderate,2,2,3,3.5,4
P01552,37,Male,White,Bachelor,Liberal,2,4,5,1.7,2
P01553,29,Male,Hispanic,Master,Conservative,4,4,2,2.3,4
P01554,30,Male,Asian,Master,Conservative,4,4,4,2.5,2
P01555,37,Male,Black,High School,Conservative,1,2,5,2.8,3
P01556,44,Female,White,Bachelor,Liberal,1,5,5,2.7,4
P01557,50,Female,White,Not Applicable,Moderate,3,2,1,3.7,4
P01558,30,Male,Other,Bachelor,Liberal,1,4,3,3.5,5
P01559,57,Female,White,High School,Conservative,4,3,1,2.6,1
P01560,36,Female,White,Bachelor,Liberal,4,5,1,3.7,2
P01561,39,Female,White,High School,Moderate,1,2,2,1.8,3
P01562,31,Female,Hispanic,Master,Liberal,3,3,3,3.7,5
P01563,18,Male,Hispanic,Bachelor,Liberal,4,5,2,3.9,5
P01564,50,Female,White,Bachelor,Moderate,3,2,5,3.3,1
P01565,48,Female,Hispanic,High School,Liberal,4,4,2,3.5,3
P01566,36,Male,White,Bachelor,Moderate,3,2,5,3.7,2
P01567,40,Male,White,PhD,Conservative,3,5,1,4.0,4
P01568,46,Female,Hispanic,High School,Conservative,3,4,2,3.7,1
P01569,21,Male,Hispanic,Bachelor,Liberal,1,1,3,4.2,4
P01570,33,Other,White,PhD,Conservative,2,3,2,1.4,5
P01571,49,Male,White,Bachelor,Liberal,3,4,5,3.1,4
P01572,24,Female,Hispanic,Bachelor,Conservative,3,4,4,3.0,2
P01573,43,Male,Asian,Bachelor,Conservative,4,5,3,3.2,2
P01574,23,Female,Hispanic,Bachelor,Liberal,2,5,5,3.9,4
P01575,45,Female,White,High School,Moderate,4,3,4,3.1,4
P01576,39,Male,Hispanic,High School,Liberal,4,5,3,3.1,1
P01577,20,Female,Other,Bachelor,Conservative,3,4,4,3.5,2
P01578,53,Male,White,PhD,Moderate,5,3,1,1.5,4
P01579,31,Male,Hispanic,High School,Moderate,2,3,1,4.6,3
P01580,30,Male,White,High School,Moderate,4,2,2,2.9,1
P01581,42,Female,White,High School,Conservative,5,4,2,4.5,1
P01582,53,Male,Black,Master,Conservative,5,4,2,2.1,1
P01583,27,Male,White,High School,Moderate,4,5,2,2.1,1
P01584,40,Male,White,Master,Conservative,3,4,4,2.8,4
P01585,45,Female,Hispanic,High School,Conservative,1,5,3,3.0,5
P01586,48,Female,White,Not Applicable,Conservative,4,4,3,2.5,3
P01587,42,Male,White,Bachelor,Liberal,3,2,2,2.2,5
P01588,35,Male,Hispanic,Bachelor,Liberal,2,4,1,3.4,5
P01589,30,Female,White,High School,Liberal,3,2,5,4.4,4
P01590,41,Male,White,Master,Moderate,5,4,2,4.7,1
P01591,27,Female,White,High School,Liberal,2,4,2,2.7,1
P01592,18,Female,White,High School,Moderate,2,1,1,1.9,4
P01593,45,Female,Black,Bachelor,Moderate,1,4,5,2.7,4
P01594,50,Male,Hispanic,Master,Moderate,1,2,4,4.7,2
P01595,18,Female,White,Master,Moderate,4,3,4,4.0,1
P01596,27,Female,Hispanic,Bachelor,Liberal,3,2,5,3.4,3
P01597,47,Female,White,Bachelor,Conservative,4,4,5,2.5,2
P01598,64,Male,White,High School,Conservative,1,5,4,3.9,5
P01599,40,Male,Black,Master,Moderate,5,1,2,5.0,1
P01600,31,Male,Black,Master,Conservative,1,5,2,2.9,4
P01601,37,Female,White,Bachelor,Liberal,3,1,1,1.0,4
P01602,56,Female,White,Bachelor,Conservative,5,1,5,2.0,4
P01603,32,Male,White,Not Applicable,Liberal,4,5,2,3.1,1
P01604,30,Male,White,Master,Moderate,4,4,2,2.8,3
P01605,34,Male,White,Bachelor,Liberal,1,2,1,4.4,4
P01606,28,Female,Black,High School,Moderate,1,5,5,2.4,1
P01607,41,Female,White,Bachelor,Liberal,4,3,1,2.8,5
P01608,59,Male,Asian,Bachelor,Moderate,4,1,1,2.4,2
P01609,43,Male,White,Bachelor,Liberal,2,2,4,3.8,1
P01610,36,Male,White,High School,Conservative,3,3,1,2.1,1
P01611,36,Female,White,Bachelor,Moderate,2,2,5,2.8,4
P01612,21,Female,White,Bachelor,Liberal,2,4,2,1.5,2
P01613,50,Female,Hispanic,Bachelor,Liberal,4,3,2,2.5,2
P01614,39,Male,White,High School,Conservative,3,5,4,4.7,4
P01615,37,Female,White,Master,Liberal,4,2,5,4.8,3
P01616,78,Male,Hispanic,Bachelor,Moderate,2,5,2,3.7,1
P01617,43,Female,Black,High School,Moderate,2,5,1,3.4,4
P01618,30,Male,White,High School,Liberal,4,2,3,2.4,3
P01619,34,Female,White,Master,Liberal,1,2,3,3.2,4
P01620,53,Female,Black,Master,Moderate,1,1,3,3.2,5
P01621,41,Female,Other,High School,Liberal,4,1,3,3.0,3
P01622,22,Female,Hispanic,PhD,Liberal,5,3,1,3.8,3
P01623,51,Male,White,High School,Liberal,5,3,2,2.1,2
P01624,31,Male,Other,Not Applicable,Liberal,1,3,4,5.0,1
P01625,62,Female,White,High School,Liberal,3,1,1,4.6,4
P01626,52,Male,White,High School,Conservative,2,5,2,2.2,4
P01627,34,Male,Hispanic,Bachelor,Moderate,3,4,5,3.1,1
P01628,55,Male,White,High School,Conservative,1,4,2,2.4,1
P01629,40,Female,White,Bachelor,Liberal,4,2,2,3.6,2
P01630,50,Male,White,Master,Liberal,5,1,2,2.9,1
P01631,45,Male,White,Master,Conservative,1,2,1,1.1,5
P01632,29,Male,Asian,Bachelor,Moderate,3,4,2,2.1,2
P01633,32,Male,Black,Bachelor,Liberal,3,2,2,4.3,3
P01634,52,Female,White,High School,Moderate,1,1,5,2.8,1
P01635,35,Other,White,High School,Moderate,2,1,5,2.8,3
P01636,35,Female,Hispanic,Bachelor,Conservative,3,1,3,3.7,2
P01637,28,Male,Hispanic,High School,Liberal,2,4,1,3.9,5
P01638,45,Female,White,Master,Moderate,2,1,2,2.9,5
P01639,64,Female,Other,Bachelor,Conservative,4,3,3,1.0,1
P01640,27,Male,Black,High School,Conservative,1,3,3,2.2,5
P01641,40,Female,White,Bachelor,Conservative,1,1,1,1.0,4
P01642,56,Female,White,High School,Liberal,2,3,3,1.6,2
P01643,39,Female,White,Bachelor,Conservative,4,1,3,3.1,5
P01644,45,Female,Black,Master,Conservative,3,4,1,3.0,2
P01645,27,Male,White,Bachelor,Conservative,3,3,4,4.3,2
P01646,45,Male,White,High School,Conservative,1,4,3,3.0,4
P01647,37,Female,White,Master,Conservative,2,3,5,2.1,1
P01648,51,Male,Hispanic,High School,Liberal,4,5,3,4.2,2
P01649,54,Male,White,Master,Liberal,4,5,1,4.8,4
P01650,71,Female,Hispanic,Bachelor,Conservative,3,4,1,3.9,5
P01651,46,Female,Hispanic,Bachelor,Liberal,3,3,4,2.9,3
P01652,43,Male,White,Master,Liberal,5,5,4,2.7,1
P01653,42,Female,White,Bachelor,Moderate,5,1,5,1.8,3
P01654,35,Female,White,High School,Conservative,2,2,5,2.2,4
P01655,44,Female,Hispanic,High School,Liberal,5,5,3,2.6,2
P01656,36,Male,White,Master,Moderate,4,5,4,1.7,4
P01657,42,Male,White,High School,Liberal,5,1,5,2.7,1
P01658,55,Male,White,Bachelor,Liberal,1,5,3,2.7,1
P01659,27,Male,White,Master,Liberal,1,5,2,4.3,5
P01660,53,Male,Hispanic,Bachelor,Liberal,3,5,3,1.4,4
P01661,55,Male,Black,Master,Conservative,3,3,5,3.2,1
P01662,38,Male,Hispanic,Master,Conservative,2,5,3,1.6,4
P01663,18,Female,White,Bachelor,Conservative,1,2,2,1.0,5
P01664,32,Male,White,Master,Liberal,2,3,5,2.5,5
P01665,55,Female,Other,Bachelor,Moderate,2,3,3,3.0,4
P01666,39,Female,White,Bachelor,Liberal,5,4,5,4.3,1
P01667,28,Male,Hispanic,Bachelor,Liberal,3,5,3,2.7,2
P01668,33,Female,White,Master,Moderate,2,2,1,2.5,2
P01669,50,Female,White,Master,Conservative,2,2,5,2.3,5
P01670,46,Male,Black,High School,Liberal,3,4,5,2.5,1
P01671,37,Female,Other,High School,Liberal,3,2,5,1.0,5
P01672,35,Male,Hispanic,PhD,Conservative,1,3,5,2.2,5
P01673,35,Female,White,Bachelor,Moderate,3,1,3,3.8,5
P01674,28,Male,White,High School,Conservative,5,3,4,1.0,5
P01675,59,Female,White,Bachelor,Conservative,1,1,3,2.6,4
P01676,36,Male,Black,Not Applicable,Moderate,2,2,2,2.7,4
P01677,54,Female,Asian,Master,Liberal,5,5,1,3.7,1
P01678,58,Male,White,Master,Conservative,5,1,3,3.1,1
P01679,51,Female,Hispanic,High School,Liberal,1,3,3,3.4,3
P01680,34,Female,Black,Master,Liberal,2,3,5,2.3,2
P01681,44,Male,Hispanic,Bachelor,Conservative,1,3,2,1.2,4
P01682,39,Female,White,Master,Moderate,4,3,5,2.5,1
P01683,29,Male,White,High School,Liberal,4,4,5,2.9,5
P01684,43,Female,Other,High School,Moderate,1,2,4,4.2,4
P01685,25,Female,White,Bachelor,Conservative,2,5,1,1.6,2
P01686,54,Female,Hispanic,High School,Liberal,2,4,4,5.0,4
P01687,34,Female,Hispanic,Master,Liberal,3,2,5,3.2,2
P01688,42,Male,Black,Not Applicable,Liberal,5,1,1,2.2,3
P01689,43,Male,White,Bachelor,Liberal,1,4,3,2.2,1
P01690,36,Male,White,Master,Conservative,5,4,2,2.8,2
P01691,47,Female,White,Bachelor,Conservative,5,4,4,2.9,3
P01692,34,Male,White,Master,Moderate,4,4,2,3.0,4
P01693,50,Female,White,Master,Liberal,4,1,5,3.6,1
P01694,23,Female,White,Master,Liberal,1,3,1,2.3,2
P01695,41,Male,White,Bachelor,Liberal,1,4,3,3.1,2
P01696,63,Female,White,Bachelor,Liberal,2,2,1,2.7,1
P01697,27,Male,White,Bachelor,Liberal,1,3,2,4.6,4
P01698,31,Male,White,High School,Moderate,2,1,2,1.2,4
P01699,46,Female,White,Master,Liberal,2,5,3,5.0,5
P01700,42,Male,Black,Not Applicable,Conservative,1,1,3,2.1,4
P01701,44,Male,White,Bachelor,Conservative,2,5,1,1.9,1
P01702,45,Female,White,Bachelor,Moderate,5,2,4,2.7,3
P01703,47,Male,Black,Master,Liberal,2,5,1,3.2,1
P01704,53,Female,Hispanic,Bachelor,Conservative,5,4,2,2.6,2
P01705,44,Female,White,Bachelor,Conservative,5,3,1,3.6,5
P01706,37,Male,Black,Master,Liberal,5,3,5,2.6,5
P01707,48,Male,Hispanic,Bachelor,Conservative,3,4,1,2.4,3
P01708,62,Female,Hispanic,High School,Conservative,3,3,1,2.1,2
P01709,38,Male,White,Master,Moderate,2,1,5,4.3,4
P01710,28,Male,Black,Bachelor,Liberal,1,4,2,3.4,4
P01711,53,Female,White,Master,Moderate,2,4,3,1.8,4
P01712,38,Male,White,High School,Moderate,3,3,1,2.5,1
P01713,18,Female,Other,High School,Moderate,4,5,4,1.7,4
P01714,50,Male,White,PhD,Conservative,4,2,3,5.0,2
P01715,33,Male,Hispanic,High School,Conservative,2,5,4,3.2,5
P01716,38,Male,White,Master,Liberal,3,1,1,1.0,1
P01717,43,Female,Other,Master,Moderate,5,4,4,1.6,4
P01718,42,Female,White,Bachelor,Moderate,3,4,3,1.7,2
P01719,48,Female,White,High School,Liberal,2,1,4,3.3,3
P01720,34,Male,White,Bachelor,Liberal,3,2,4,1.3,2
P01721,46,Male,White,Master,Conservative,4,4,3,1.6,5
P01722,36,Male,White,Bachelor,Moderate,5,5,3,2.7,2
P01723,48,Female,Hispanic,Bachelor,Liberal,2,1,3,2.9,2
P01724,47,Female,White,Bachelor,Liberal,2,4,3,2.4,1
P01725,28,Female,Hispanic,High School,Moderate,1,5,5,2.6,5
P01726,53,Male,White,PhD,Moderate,5,1,1,1.6,4
P01727,33,Female,White,Master,Liberal,2,1,3,3.4,5
P01728,49,Male,Other,Not Applicable,Moderate,3,1,2,1.0,3
P01729,44,Female,White,Bachelor,Liberal,3,2,4,2.8,5
P01730,62,Male,Black,Master,Liberal,3,1,3,4.8,1
P01731,37,Female,Black,High School,Moderate,3,3,3,2.6,4
P01732,35,Male,White,Bachelor,Liberal,2,3,1,1.6,5
P01733,39,Male,Hispanic,Bachelor,Conservative,4,1,3,2.9,4
P01734,36,Female,Black,PhD,Liberal,5,4,5,2.7,1
P01735,49,Male,White,Master,Moderate,3,3,2,3.2,2
P01736,20,Male,Hispanic,PhD,Liberal,2,5,2,3.2,3
P01737,27,Female,White,Master,Liberal,2,5,3,4.0,5
P01738,27,Female,White,Master,Conservative,3,4,1,2.5,4
P01739,51,Female,Hispanic,High School,Moderate,1,5,3,2.2,5
P01740,60,Male,Black,Master,Conservative,2,4,4,2.2,1
P01741,38,Female,Hispanic,Bachelor,Moderate,5,5,2,2.3,2
P01742,37,Female,Black,Bachelor,Moderate,5,1,4,3.3,1
P01743,40,Male,Hispanic,High School,Conservative,1,5,5,1.6,4
P01744,53,Female,Hispanic,Bachelor,Moderate,2,1,2,2.1,5
P01745,28,Male,White,High School,Moderate,1,5,2,3.1,4
P01746,42,Male,White,Bachelor,Conservative,2,5,5,4.2,1
P01747,51,Male,White,Bachelor,Conservative,2,5,4,2.1,5
P01748,46,Male,Black,PhD,Liberal,1,1,3,3.3,4
P01749,42,Female,White,Master,Moderate,4,5,1,2.8,5
P01750,52,Female,White,Bachelor,Liberal,3,5,4,3.5,3
P01751,18,Female,White,Bachelor,Liberal,3,2,5,3.1,1
P01752,48,Female,Hispanic,High School,Moderate,3,1,5,3.0,1
P01753,32,Male,Black,High School,Conservative,1,3,5,5.0,3
P01754,18,Female,White,High School,Moderate,2,4,2,5.0,2
P01755,46,Female,White,Not Applicable,Conservative,2,2,3,2.7,4
P01756,56,Male,White,Bachelor,Liberal,5,5,2,2.1,2
P01757,38,Female,White,High School,Moderate,2,3,2,3.2,5
P01758,51,Female,White,High School,Conservative,4,3,2,3.6,4
P01759,59,Female,Hispanic,Bachelor,Liberal,3,5,5,4.3,4
P01760,55,Female,Other,Bachelor,Liberal,4,5,4,1.0,4
P01761,59,Male,White,High School,Moderate,3,2,1,2.6,3
P01762,48,Male,White,Not Applicable,Conservative,1,1,1,2.5,1
P01763,40,Male,White,High School,Moderate,4,2,3,2.2,3
P01764,20,Female,White,High School,Moderate,2,1,3,1.5,3
P01765,37,Female,White,High School,Moderate,3,3,5,2.8,3
P01766,29,Other,White,Bachelor,Liberal,5,4,1,3.7,2
P01767,66,Male,White,High School,Conservative,4,5,4,1.8,3
P01768,37,Male,Asian,High School,Liberal,1,2,5,3.1,1
P01769,41,Female,Black,High School,Liberal,5,3,3,3.4,4
P01770,46,Female,Black,Bachelor,Moderate,1,2,5,4.6,2
P01771,40,Male,White,High School,Conservative,3,1,3,3.6,3
P01772,60,Female,Hispanic,High School,Conservative,4,5,1,2.9,3
P01773,32,Female,Hispanic,Bachelor,Conservative,1,1,5,3.3,4
P01774,42,Female,White,High School,Liberal,5,1,2,3.8,4
P01775,31,Female,White,Bachelor,Liberal,5,1,3,3.1,2
P01776,24,Male,White,High School,Liberal,2,3,2,3.8,1
P01777,32,Female,White,High School,Conservative,1,5,3,2.7,2
P01778,39,Female,White,Bachelor,Conservative,4,4,2,4.2,4
P01779,34,Male,White,High School,Conservative,4,2,1,2.5,1
P01780,31,Male,White,High School,Liberal,2,1,1,2.3,3
P01781,23,Female,White,Bachelor,Moderate,5,5,4,2.5,3
P01782,39,Male,White,PhD,Moderate,1,2,4,2.0,5
P01783,21,Male,Hispanic,Master,Conservative,5,5,4,3.8,4
P01784,49,Female,White,Master,Moderate,1,2,5,1.4,5
P01785,40,Male,Black,Master,Conservative,1,5,3,2.6,2
P01786,22,Female,White,Not Applicable,Liberal,1,4,5,3.3,2
P01787,36,Male,White,Master,Liberal,5,5,4,3.0,1
P01788,30,Female,White,Bachelor,Liberal,5,5,3,3.0,4
P01789,43,Male,White,High School,Liberal,5,1,5,2.9,1
P01790,56,Male,White,High School,Liberal,3,1,1,3.2,1
P01791,18,Male,White,Bachelor,Liberal,5,1,3,2.0,2
P01792,41,Female,White,Not Applicable,Liberal,2,5,4,2.5,2
P01793,38,Female,Black,Bachelor,Moderate,3,4,1,2.7,4
P01794,48,Male,White,Master,Conservative,1,2,3,3.5,2
P01795,42,Female,Black,Bachelor,Conservative,4,1,5,3.9,4
P01796,30,Female,White,Bachelor,Liberal,3,3,4,2.9,5
P01797,36,Female,Black,Bachelor,Liberal,3,5,5,3.7,3
P01798,30,Male,White,Bachelor,Liberal,1,4,1,3.1,5
