participant_id,age,gender,race_ethnicity,education_level,political_affiliation,vaccine_hesitancy,trust_in_science,trust_in_government,ad_engagement_score,baseline_attitude_score,ad_group,ad_group_y,vaccine_uptake,post_attitude_score,degree_centrality,community_id
P01392,31,Male,Hispanic,High School,Liberal,1,3,5,2.3,4,Ad_Reason,Ad_Reason,1,5,0.009335407868415203,0
P01393,64,Female,White,Bachelor,Liberal,5,5,4,2.5,4,Control,Control,1,3,0.009335407868415203,1
P01394,41,Female,White,Bachelor,Liberal,3,4,4,3.4,3,Ad_Reason,Ad_Reason,1,3,0.010002222716159146,1
P01395,35,Female,White,Bachelor,Moderate,1,4,3,2.5,1,Ad_Emotion,Ad_Emotion,1,2,0.01066903756390309,2
P01396,42,Male,White,Bachelor,Liberal,3,1,4,1.1,3,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499,0
P01397,23,Male,Black,High School,Moderate,4,3,3,3.3,4,Control,Control,1,2,0.010002222716159146,2
P01398,28,Female,White,Bachelor,Liberal,2,3,5,2.6,3,Ad_Emotion,Ad_Emotion,0,4,0.00955767948432985,2
P01399,54,Male,White,Bachelor,Conservative,2,2,2,3.7,2,Ad_Emotion,Ad_Emotion,1,3,0.010002222716159146,2
P01400,32,Female,White,Bachelor,Liberal,2,2,5,3.0,5,Ad_Emotion,Ad_Emotion,0,4,0.010446765947988441,2
P01401,27,Female,White,Bachelor,Moderate,4,4,3,3.6,5,Ad_Reason,Ad_Reason,1,2,0.010891309179817737,2
P01402,46,Male,White,Bachelor,Liberal,5,5,3,5.0,4,Ad_Reason,Ad_Reason,0,3,0.009779951100244499,1
P01403,54,Female,Hispanic,High School,Liberal,3,5,3,4.3,3,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499,0
P01404,48,Male,Asian,High School,Conservative,1,1,2,2.6,2,Control,Control,0,3,0.008224049788841965,0
P01405,51,Female,Black,Bachelor,Moderate,5,3,3,3.4,2,Ad_Reason,Ad_Reason,1,4,0.009113136252500556,0
P01406,30,Male,White,High School,Liberal,2,4,5,3.1,2,Control,Control,1,3,0.007334963325183374,0
P01407,22,Female,White,Bachelor,Moderate,2,5,2,3.3,4,Ad_Emotion,Ad_Emotion,1,4,0.011113580795732384,0
P01408,58,Male,White,Master,Moderate,5,2,5,1.4,3,Ad_Emotion,Ad_Emotion,1,4,0.009113136252500556,0
P01409,36,Male,Hispanic,High School,Moderate,3,4,2,4.1,2,Ad_Reason,Ad_Reason,1,4,0.009113136252500556,2
P01411,55,Male,White,Not Applicable,Conservative,4,4,2,3.0,3,Ad_Reason,Ad_Reason,1,4,0.010891309179817737,0
P01412,46,Female,Asian,High School,Liberal,2,5,1,1.2,3,Ad_Emotion,Ad_Emotion,1,3,0.008890864636585907,2
P01413,45,Male,White,High School,Liberal,3,1,5,2.3,5,Ad_Emotion,Ad_Emotion,0,3,0.011113580795732384,2
P01414,65,Female,White,High School,Liberal,1,2,1,3.2,1,Ad_Reason,Ad_Reason,1,4,0.012669482107134918,0
P01415,32,Male,White,Master,Conservative,2,2,1,3.9,1,Ad_Reason,Ad_Reason,0,3,0.010224494332073794,2
P01416,51,Female,White,High School,Conservative,5,5,3,4.0,2,Ad_Reason,Ad_Reason,1,2,0.010002222716159146,2
P01417,40,Male,White,Bachelor,Conservative,3,1,3,2.8,3,Ad_Emotion,Ad_Emotion,1,4,0.012002667259390976,1
P01418,43,Male,White,Bachelor,Conservative,2,2,1,4.0,5,Ad_Emotion,Ad_Emotion,0,3,0.00866859302067126,0
P01419,58,Male,Black,High School,Conservative,1,1,2,2.9,4,Control,Control,1,3,0.011780395643476329,0
P01420,46,Female,Hispanic,High School,Moderate,1,4,3,2.3,1,Ad_Reason,Ad_Reason,0,2,0.009335407868415203,2
P01421,46,Male,White,Master,Conservative,5,3,5,3.4,1,Ad_Emotion,Ad_Emotion,1,3,0.008890864636585907,3
P01422,52,Female,Hispanic,Bachelor,Conservative,4,3,1,2.1,3,Ad_Emotion,Ad_Emotion,1,4,0.010446765947988441,0
P01423,35,Female,White,High School,Liberal,5,3,5,2.9,4,Ad_Reason,Ad_Reason,1,2,0.010446765947988441,1
P01424,29,Male,White,High School,Moderate,3,2,5,2.5,1,Control,Control,0,3,0.009113136252500556,1
P01425,27,Female,White,Bachelor,Conservative,5,5,5,1.4,5,Ad_Reason,Ad_Reason,0,3,0.009335407868415203,1
P01426,18,Male,Black,Master,Conservative,3,3,1,3.3,1,Control,Control,1,3,0.010224494332073794,1
P01427,64,Male,White,High School,Conservative,4,5,4,3.1,3,Ad_Emotion,Ad_Emotion,1,2,0.010224494332073794,0
P01428,26,Female,Black,Bachelor,Conservative,5,3,3,4.2,3,Control,Control,0,2,0.007112691709268726,1
P01429,37,Female,Asian,High School,Conservative,1,4,5,1.1,4,Ad_Emotion,Ad_Emotion,0,3,0.010891309179817737,0
P01430,36,Female,White,High School,Moderate,3,3,1,2.3,1,Ad_Reason,Ad_Reason,1,3,0.01066903756390309,1
P01431,43,Male,Black,High School,Liberal,3,5,4,4.1,4,Ad_Reason,Ad_Reason,1,2,0.009335407868415203,0
P01432,49,Male,Hispanic,Master,Liberal,1,2,1,3.5,1,Ad_Reason,Ad_Reason,1,2,0.01355856857079351,1
P01433,50,Male,White,Bachelor,Moderate,5,4,3,3.7,2,Control,Control,0,3,0.01155812402756168,0
P01434,33,Female,White,Master,Moderate,4,5,1,4.5,1,Ad_Emotion,Ad_Emotion,1,4,0.013780840186708157,0
P01435,37,Female,Black,Bachelor,Moderate,2,1,2,2.2,3,Ad_Reason,Ad_Reason,0,2,0.010002222716159146,0
P01436,43,Female,Black,Master,Moderate,5,3,2,2.1,3,Ad_Reason,Ad_Reason,0,5,0.008890864636585907,1
P01437,37,Male,White,High School,Conservative,5,4,5,3.9,2,Ad_Emotion,Ad_Emotion,1,4,0.011335852411647033,0
P01438,59,Male,White,High School,Liberal,3,2,1,3.6,1,Ad_Reason,Ad_Reason,0,5,0.008224049788841965,1
P01439,45,Male,White,Not Applicable,Conservative,3,1,1,2.9,1,Ad_Emotion,Ad_Emotion,1,4,0.008890864636585907,0
P01440,48,Male,White,Master,Conservative,4,3,5,2.8,3,Ad_Emotion,Ad_Emotion,1,4,0.010002222716159146,0
P01441,47,Male,White,Master,Moderate,4,4,5,2.0,2,Ad_Emotion,Ad_Emotion,0,2,0.008446321404756612,1
P01442,54,Female,Hispanic,High School,Moderate,4,5,4,4.6,3,Ad_Emotion,Ad_Emotion,1,3,0.010891309179817737,0
P01443,42,Female,Asian,High School,Conservative,1,3,1,5.0,2,Ad_Emotion,Ad_Emotion,1,5,0.011113580795732384,0
P01444,24,Female,White,Master,Conservative,2,4,3,4.1,3,Control,Control,1,2,0.010891309179817737,3
P01445,44,Male,Black,High School,Liberal,2,3,3,3.7,5,Ad_Reason,Ad_Reason,0,4,0.01066903756390309,0
P01447,33,Female,White,Bachelor,Liberal,3,5,5,3.3,4,Ad_Reason,Ad_Reason,1,4,0.009335407868415203,2
P01448,47,Male,White,High School,Liberal,2,3,5,1.2,5,Control,Control,0,2,0.007779506557012669,1
P01449,54,Female,White,High School,Liberal,5,4,5,2.5,3,Ad_Emotion,Ad_Emotion,1,4,0.009113136252500556,1
P01450,40,Female,Hispanic,High School,Liberal,1,1,3,3.8,2,Ad_Reason,Ad_Reason,0,2,0.007779506557012669,2
P01451,43,Male,White,High School,Moderate,3,2,4,2.2,4,Ad_Reason,Ad_Reason,0,2,0.009335407868415203,0
P01452,60,Female,Other,Bachelor,Conservative,1,4,2,3.2,2,Control,Control,1,3,0.01066903756390309,0
P01453,42,Male,White,High School,Moderate,5,4,1,4.2,2,Control,Control,1,2,0.010891309179817737,1
P01454,71,Female,White,High School,Conservative,2,4,2,4.2,1,Ad_Reason,Ad_Reason,1,4,0.00955767948432985,0
P01455,46,Female,White,PhD,Conservative,1,3,1,3.9,3,Control,Control,0,4,0.009779951100244499,0
P01456,18,Male,White,Bachelor,Conservative,1,2,5,3.3,1,Control,Control,1,1,0.009779951100244499,0
P01457,49,Male,Hispanic,Bachelor,Moderate,1,3,3,3.8,2,Control,Control,0,4,0.00866859302067126,0
P01458,44,Female,Hispanic,Master,Liberal,5,4,2,2.8,1,Ad_Emotion,Ad_Emotion,0,3,0.011335852411647033,1
P01459,55,Female,White,PhD,Conservative,3,4,5,4.7,5,Ad_Emotion,Ad_Emotion,0,2,0.009335407868415203,1
P01460,48,Male,Hispanic,High School,Conservative,3,2,1,1.4,2,Control,Control,0,2,0.0064458768615247835,2
P01461,38,Female,Hispanic,Bachelor,Moderate,5,1,2,3.1,2,Control,Control,0,2,0.012224938875305623,0
P01462,25,Male,White,Bachelor,Liberal,1,3,2,2.5,5,Ad_Emotion,Ad_Emotion,1,3,0.010224494332073794,1
P01463,37,Male,Black,High School,Conservative,1,1,2,3.7,2,Ad_Emotion,Ad_Emotion,0,4,0.00955767948432985,0
P01464,29,Male,White,Master,Liberal,4,4,2,2.7,4,Ad_Reason,Ad_Reason,1,2,0.007557234941098022,2
P01465,33,Male,White,Not Applicable,Liberal,2,4,2,5.0,4,Ad_Reason,Ad_Reason,0,3,0.008890864636585907,0
P01466,47,Male,White,Not Applicable,Conservative,2,5,5,3.9,3,Ad_Emotion,Ad_Emotion,0,4,0.010446765947988441,0
P01467,60,Other,Black,High School,Moderate,3,5,1,2.0,3,Control,Control,1,2,0.010891309179817737,1
P01468,44,Male,White,High School,Moderate,5,1,1,1.0,1,Control,Control,0,3,0.007334963325183374,0
P01469,25,Male,Hispanic,Not Applicable,Conservative,1,5,4,1.9,1,Control,Control,0,3,0.007557234941098022,0
P01470,45,Male,Hispanic,Bachelor,Moderate,2,2,3,3.6,5,Control,Control,1,4,0.008001778172927318,0
P01472,32,Female,White,Bachelor,Liberal,5,5,1,2.4,2,Ad_Emotion,Ad_Emotion,1,4,0.011335852411647033,2
P01473,38,Male,White,High School,Liberal,1,5,3,2.3,3,Control,Control,1,3,0.008890864636585907,0
P01474,40,Male,White,High School,Conservative,5,2,3,3.8,3,Ad_Reason,Ad_Reason,1,2,0.01155812402756168,0
P01475,30,Male,White,Master,Moderate,2,2,5,2.7,3,Control,Control,1,2,0.010891309179817737,1
P01476,47,Male,White,High School,Liberal,4,1,2,2.6,3,Ad_Emotion,Ad_Emotion,1,5,0.010002222716159146,1
P01477,38,Male,White,High School,Liberal,2,3,4,4.0,1,Ad_Reason,Ad_Reason,0,3,0.014225383418537452,0
P01478,45,Male,White,High School,Moderate,4,2,3,4.6,4,Ad_Emotion,Ad_Emotion,1,4,0.010224494332073794,1
P01480,34,Female,White,High School,Moderate,2,1,2,4.2,5,Ad_Reason,Ad_Reason,1,3,0.01066903756390309,1
P01481,48,Male,Hispanic,Bachelor,Moderate,1,3,1,2.9,3,Ad_Reason,Ad_Reason,0,3,0.009335407868415203,0
P01482,35,Female,Hispanic,Bachelor,Liberal,5,1,4,3.9,3,Ad_Reason,Ad_Reason,1,4,0.008224049788841965,2
P01483,60,Female,White,Master,Moderate,1,5,2,3.7,1,Ad_Reason,Ad_Reason,0,3,0.010224494332073794,1
P01484,35,Female,White,High School,Conservative,4,3,5,3.0,1,Ad_Reason,Ad_Reason,1,4,0.012224938875305623,1
P01486,51,Male,White,High School,Moderate,3,2,5,3.7,3,Ad_Reason,Ad_Reason,0,3,0.014225383418537452,1
P01487,22,Male,White,Bachelor,Moderate,4,4,5,1.9,3,Control,Control,1,2,0.009779951100244499,1
P01488,18,Female,Black,Bachelor,Conservative,3,5,5,1.9,5,Ad_Emotion,Ad_Emotion,1,4,0.010446765947988441,1
P01489,21,Male,Hispanic,High School,Liberal,5,4,4,5.0,1,Ad_Reason,Ad_Reason,1,4,0.00866859302067126,0
P01490,55,Female,White,Master,Conservative,5,5,3,4.2,5,Control,Control,1,5,0.008224049788841965,0
P01491,33,Female,Asian,High School,Moderate,2,1,3,4.0,1,Control,Control,1,3,0.011113580795732384,1
P01492,70,Male,White,High School,Conservative,5,4,1,2.8,1,Control,Control,1,4,0.012669482107134918,0
P01493,33,Female,White,High School,Liberal,3,3,3,1.4,1,Ad_Emotion,Ad_Emotion,0,3,0.010446765947988441,0
P01494,42,Male,White,Bachelor,Conservative,1,2,5,2.5,3,Ad_Reason,Ad_Reason,1,4,0.011335852411647033,2
P01495,58,Male,White,High School,Conservative,2,5,3,3.4,5,Control,Control,0,2,0.011113580795732384,2
P01497,64,Male,White,High School,Liberal,3,5,5,3.4,4,Ad_Emotion,Ad_Emotion,0,5,0.009779951100244499,1
P01498,54,Female,White,Bachelor,Moderate,1,3,4,3.5,1,Ad_Emotion,Ad_Emotion,1,4,0.011113580795732384,0
P01499,52,Male,White,Bachelor,Liberal,3,3,5,2.8,1,Control,Control,0,5,0.008890864636585907,1
P01500,47,Male,Black,High School,Conservative,5,3,3,3.6,1,Ad_Reason,Ad_Reason,1,4,0.012224938875305623,1
P01502,33,Female,White,Bachelor,Liberal,4,3,1,3.1,4,Control,Control,0,3,0.009779951100244499,0
P01503,30,Male,White,Master,Moderate,3,2,5,2.8,3,Ad_Reason,Ad_Reason,1,4,0.009779951100244499,2
P01504,39,Female,White,Master,Liberal,5,1,1,4.4,5,Ad_Reason,Ad_Reason,1,4,0.009113136252500556,0
P01505,37,Female,Hispanic,Master,Conservative,1,4,1,1.0,5,Ad_Reason,Ad_Reason,1,2,0.01066903756390309,1
P01506,34,Male,White,High School,Conservative,5,2,2,2.8,5,Ad_Emotion,Ad_Emotion,1,5,0.00866859302067126,1
P01507,48,Male,White,Not Applicable,Moderate,1,4,1,3.2,3,Ad_Reason,Ad_Reason,0,4,0.010002222716159146,1
P01508,51,Male,White,High School,Conservative,1,1,3,1.1,1,Control,Control,1,3,0.012002667259390976,1
P01509,41,Female,White,Not Applicable,Conservative,1,5,3,3.7,4,Ad_Reason,Ad_Reason,0,1,0.009113136252500556,0
P01510,57,Female,White,High School,Liberal,1,1,2,2.9,5,Control,Control,0,2,0.009335407868415203,0
P01511,26,Female,Hispanic,Bachelor,Conservative,2,1,2,2.0,2,Ad_Emotion,Ad_Emotion,0,3,0.00955767948432985,0
P01512,37,Female,Hispanic,High School,Liberal,1,5,5,4.0,2,Control,Control,1,3,0.010446765947988441,1
P01513,31,Male,White,High School,Moderate,2,4,2,2.3,4,Control,Control,0,3,0.009335407868415203,1
P01514,18,Male,White,Master,Moderate,4,3,4,3.8,5,Ad_Reason,Ad_Reason,0,4,0.011335852411647033,2
P01515,39,Male,White,Master,Conservative,2,5,3,3.2,1,Ad_Reason,Ad_Reason,0,4,0.009335407868415203,0
P01516,38,Female,White,Not Applicable,Liberal,1,5,3,2.6,5,Control,Control,1,4,0.010446765947988441,1
P01518,47,Male,White,Bachelor,Moderate,5,5,2,2.3,5,Ad_Emotion,Ad_Emotion,1,3,0.010224494332073794,1
P01519,27,Female,White,High School,Liberal,2,2,3,3.9,2,Ad_Emotion,Ad_Emotion,1,3,0.012669482107134918,1
P01520,62,Male,White,Not Applicable,Conservative,5,3,2,4.2,3,Ad_Reason,Ad_Reason,1,2,0.010002222716159146,1
P01521,54,Male,Hispanic,Bachelor,Moderate,4,1,5,3.7,4,Ad_Emotion,Ad_Emotion,1,3,0.00866859302067126,0
P01522,46,Male,Black,Bachelor,Liberal,2,4,2,3.0,1,Ad_Reason,Ad_Reason,1,5,0.014892198266281395,1
P01523,37,Male,White,Bachelor,Liberal,1,4,2,3.7,3,Control,Control,0,3,0.01066903756390309,2
P01524,28,Male,White,Bachelor,Moderate,2,4,5,3.3,1,Control,Control,1,3,0.009113136252500556,1
P01525,35,Male,White,Not Applicable,Moderate,1,4,5,2.4,4,Ad_Emotion,Ad_Emotion,0,4,0.013114025338964214,0
P01526,53,Male,Hispanic,High School,Liberal,3,4,5,2.1,3,Ad_Reason,Ad_Reason,1,4,0.007334963325183374,2
P01527,62,Male,White,High School,Liberal,2,1,3,2.7,3,Ad_Reason,Ad_Reason,1,3,0.010002222716159146,0
P01531,41,Male,White,High School,Conservative,4,2,3,3.3,3,Control,Control,1,3,0.011780395643476329,2
P01532,18,Male,White,High School,Moderate,1,3,4,4.5,4,Ad_Reason,Ad_Reason,0,3,0.011113580795732384,0
P01533,43,Male,White,Bachelor,Conservative,5,2,2,3.0,1,Control,Control,0,5,0.008890864636585907,1
P01534,38,Male,Black,Bachelor,Liberal,4,5,4,2.8,5,Ad_Emotion,Ad_Emotion,1,4,0.011335852411647033,1
P01535,34,Female,Black,High School,Moderate,1,4,4,1.5,4,Ad_Reason,Ad_Reason,0,4,0.009113136252500556,0
P01536,20,Male,Hispanic,Not Applicable,Moderate,1,5,5,3.6,3,Ad_Emotion,Ad_Emotion,1,1,0.010002222716159146,0
P01537,46,Female,White,Not Applicable,Moderate,1,5,3,2.3,5,Ad_Emotion,Ad_Emotion,1,5,0.00955767948432985,2
P01538,33,Female,White,High School,Moderate,3,4,2,2.1,4,Control,Control,0,5,0.007334963325183374,1
P01539,25,Female,Hispanic,Master,Conservative,1,1,2,2.0,2,Ad_Emotion,Ad_Emotion,1,5,0.008446321404756612,0
P01540,18,Female,White,Bachelor,Moderate,4,2,2,3.4,3,Control,Control,0,4,0.01066903756390309,1
P01542,61,Male,Black,High School,Moderate,1,1,1,4.6,1,Control,Control,0,3,0.009113136252500556,1
P01544,34,Male,White,Bachelor,Conservative,2,4,1,2.5,4,Control,Control,0,4,0.006890420093354078,1
P01545,32,Male,Asian,High School,Moderate,1,2,4,1.0,2,Ad_Emotion,Ad_Emotion,1,4,0.010891309179817737,0
P01546,45,Male,Hispanic,Master,Moderate,4,1,5,3.1,4,Control,Control,0,4,0.009779951100244499,2
P01547,28,Female,White,Bachelor,Moderate,5,4,1,2.7,1,Control,Control,0,2,0.007779506557012669,2
P01548,43,Female,White,Bachelor,Conservative,4,1,1,3.9,5,Ad_Reason,Ad_Reason,1,5,0.010224494332073794,2
P01549,49,Male,White,High School,Conservative,3,5,3,3.0,2,Ad_Emotion,Ad_Emotion,0,3,0.008224049788841965,1
P01550,54,Female,White,Bachelor,Conservative,5,2,4,4.2,3,Control,Control,0,3,0.012224938875305623,1
P01551,38,Male,White,High School,Moderate,2,2,3,3.5,4,Ad_Emotion,Ad_Emotion,0,2,0.011780395643476329,1
P01552,37,Male,White,Bachelor,Liberal,2,4,5,1.7,2,Control,Control,0,3,0.012224938875305623,1
P01553,29,Male,Hispanic,Master,Conservative,4,4,2,2.3,4,Control,Control,1,3,0.009113136252500556,1
P01554,30,Male,Asian,Master,Conservative,4,4,4,2.5,2,Ad_Emotion,Ad_Emotion,1,4,0.01066903756390309,0
P01555,37,Male,Black,High School,Conservative,1,2,5,2.8,3,Control,Control,1,3,0.009113136252500556,1
P01556,44,Female,White,Bachelor,Liberal,1,5,5,2.7,4,Ad_Emotion,Ad_Emotion,1,2,0.01066903756390309,1
P01557,50,Female,White,Not Applicable,Moderate,3,2,1,3.7,4,Control,Control,1,2,0.011113580795732384,1
P01558,30,Male,Other,Bachelor,Liberal,1,4,3,3.5,5,Ad_Reason,Ad_Reason,1,2,0.012224938875305623,0
P01559,57,Female,White,High School,Conservative,4,3,1,2.6,1,Ad_Emotion,Ad_Emotion,1,3,0.010002222716159146,0
P01560,36,Female,White,Bachelor,Liberal,4,5,1,3.7,2,Control,Control,0,3,0.009113136252500556,0
P01561,39,Female,White,High School,Moderate,1,2,2,1.8,3,Control,Control,0,4,0.011113580795732384,2
P01562,31,Female,Hispanic,Master,Liberal,3,3,3,3.7,5,Ad_Reason,Ad_Reason,1,3,0.008224049788841965,2
P01563,18,Male,Hispanic,Bachelor,Liberal,4,5,2,3.9,5,Ad_Emotion,Ad_Emotion,1,2,0.01155812402756168,2
P01564,50,Female,White,Bachelor,Moderate,3,2,5,3.3,1,Control,Control,1,5,0.00866859302067126,1
P01565,48,Female,Hispanic,High School,Liberal,4,4,2,3.5,3,Ad_Reason,Ad_Reason,1,4,0.009113136252500556,0
P01566,36,Male,White,Bachelor,Moderate,3,2,5,3.7,2,Control,Control,0,3,0.009113136252500556,1
P01567,40,Male,White,PhD,Conservative,3,5,1,4.0,4,Ad_Emotion,Ad_Emotion,1,4,0.008224049788841965,1
P01568,46,Female,Hispanic,High School,Conservative,3,4,2,3.7,1,Control,Control,1,3,0.011335852411647033,0
P01570,33,Other,White,PhD,Conservative,2,3,2,1.4,5,Control,Control,0,2,0.011335852411647033,0
P01573,43,Male,Asian,Bachelor,Conservative,4,5,3,3.2,2,Ad_Reason,Ad_Reason,0,4,0.011335852411647033,2
P01574,23,Female,Hispanic,Bachelor,Liberal,2,5,5,3.9,4,Ad_Emotion,Ad_Emotion,1,4,0.008446321404756612,0
P01575,45,Female,White,High School,Moderate,4,3,4,3.1,4,Ad_Reason,Ad_Reason,1,1,0.012224938875305623,1
P01576,39,Male,Hispanic,High School,Liberal,4,5,3,3.1,1,Ad_Reason,Ad_Reason,1,3,0.008890864636585907,0
P01577,20,Female,Other,Bachelor,Conservative,3,4,4,3.5,2,Ad_Emotion,Ad_Emotion,0,3,0.012447210491220271,0
P01578,53,Male,White,PhD,Moderate,5,3,1,1.5,4,Ad_Reason,Ad_Reason,1,3,0.010891309179817737,1
P01579,31,Male,Hispanic,High School,Moderate,2,3,1,4.6,3,Ad_Reason,Ad_Reason,0,3,0.00955767948432985,0
P01580,30,Male,White,High School,Moderate,4,2,2,2.9,1,Ad_Emotion,Ad_Emotion,0,4,0.009779951100244499,0
P01581,42,Female,White,High School,Conservative,5,4,2,4.5,1,Ad_Emotion,Ad_Emotion,1,4,0.009779951100244499,0
P01582,53,Male,Black,Master,Conservative,5,4,2,2.1,1,Ad_Emotion,Ad_Emotion,1,4,0.010446765947988441,1
P01583,27,Male,White,High School,Moderate,4,5,2,2.1,1,Control,Control,0,3,0.00955767948432985,0
P01584,40,Male,White,Master,Conservative,3,4,4,2.8,4,Control,Control,0,1,0.01066903756390309,0
P01585,45,Female,Hispanic,High School,Conservative,1,5,3,3.0,5,Ad_Emotion,Ad_Emotion,1,4,0.008890864636585907,0
P01587,42,Male,White,Bachelor,Liberal,3,2,2,2.2,5,Ad_Emotion,Ad_Emotion,1,3,0.00866859302067126,2
P01588,35,Male,Hispanic,Bachelor,Liberal,2,4,1,3.4,5,Control,Control,0,3,0.00866859302067126,1
P01589,30,Female,White,High School,Liberal,3,2,5,4.4,4,Control,Control,0,2,0.007779506557012669,1
P01590,41,Male,White,Master,Moderate,5,4,2,4.7,1,Ad_Reason,Ad_Reason,0,2,0.007779506557012669,0
P01591,27,Female,White,High School,Liberal,2,4,2,2.7,1,Ad_Reason,Ad_Reason,1,3,0.008224049788841965,0
P01592,18,Female,White,High School,Moderate,2,1,1,1.9,4,Ad_Emotion,Ad_Emotion,1,5,0.0066681484774394305,1
P01593,45,Female,Black,Bachelor,Moderate,1,4,5,2.7,4,Control,Control,1,5,0.010891309179817737,0
P01594,50,Male,Hispanic,Master,Moderate,1,2,4,4.7,2,Control,Control,0,5,0.010446765947988441,0
P01595,18,Female,White,Master,Moderate,4,3,4,4.0,1,Control,Control,0,3,0.01066903756390309,3
P01596,27,Female,Hispanic,Bachelor,Liberal,3,2,5,3.4,3,Ad_Emotion,Ad_Emotion,0,4,0.011780395643476329,1
P01597,47,Female,White,Bachelor,Conservative,4,4,5,2.5,2,Ad_Reason,Ad_Reason,1,4,0.008224049788841965,0
P01599,40,Male,Black,Master,Moderate,5,1,2,5.0,1,Ad_Reason,Ad_Reason,0,2,0.008224049788841965,1
P01600,31,Male,Black,Master,Conservative,1,5,2,2.9,4,Ad_Reason,Ad_Reason,1,4,0.013336296954878861,0
P01601,37,Female,White,Bachelor,Liberal,3,1,1,1.0,4,Ad_Emotion,Ad_Emotion,0,3,0.009335407868415203,2
P01602,56,Female,White,Bachelor,Conservative,5,1,5,2.0,4,Ad_Reason,Ad_Reason,1,3,0.008890864636585907,0
P01603,32,Male,White,Not Applicable,Liberal,4,5,2,3.1,1,Ad_Reason,Ad_Reason,0,2,0.009335407868415203,0
P01604,30,Male,White,Master,Moderate,4,4,2,2.8,3,Control,Control,1,3,0.00955767948432985,0
P01605,34,Male,White,Bachelor,Liberal,1,2,1,4.4,4,Ad_Reason,Ad_Reason,0,4,0.011335852411647033,0
P01606,28,Female,Black,High School,Moderate,1,5,5,2.4,1,Ad_Emotion,Ad_Emotion,1,3,0.01066903756390309,2
P01607,41,Female,White,Bachelor,Liberal,4,3,1,2.8,5,Ad_Emotion,Ad_Emotion,0,5,0.011335852411647033,2
P01608,59,Male,Asian,Bachelor,Moderate,4,1,1,2.4,2,Ad_Reason,Ad_Reason,1,1,0.008890864636585907,0
P01609,43,Male,White,Bachelor,Liberal,2,2,4,3.8,1,Control,Control,1,2,0.01066903756390309,2
P01610,36,Male,White,High School,Conservative,3,3,1,2.1,1,Control,Control,1,5,0.010002222716159146,2
P01611,36,Female,White,Bachelor,Moderate,2,2,5,2.8,4,Ad_Reason,Ad_Reason,1,3,0.009335407868415203,0
P01612,21,Female,White,Bachelor,Liberal,2,4,2,1.5,2,Ad_Reason,Ad_Reason,1,2,0.008890864636585907,0
P01613,50,Female,Hispanic,Bachelor,Liberal,4,3,2,2.5,2,Ad_Emotion,Ad_Emotion,0,3,0.012447210491220271,2
P01614,39,Male,White,High School,Conservative,3,5,4,4.7,4,Ad_Reason,Ad_Reason,1,3,0.012224938875305623,0
P01615,37,Female,White,Master,Liberal,4,2,5,4.8,3,Control,Control,1,2,0.01155812402756168,0
P01616,78,Male,Hispanic,Bachelor,Moderate,2,5,2,3.7,1,Ad_Reason,Ad_Reason,1,4,0.010002222716159146,1
P01617,43,Female,Black,High School,Moderate,2,5,1,3.4,4,Ad_Emotion,Ad_Emotion,1,4,0.008890864636585907,4
P01618,30,Male,White,High School,Liberal,4,2,3,2.4,3,Ad_Emotion,Ad_Emotion,0,2,0.00866859302067126,2
P01619,34,Female,White,Master,Liberal,1,2,3,3.2,4,Ad_Emotion,Ad_Emotion,0,4,0.013336296954878861,0
P01620,53,Female,Black,Master,Moderate,1,1,3,3.2,5,Ad_Emotion,Ad_Emotion,0,4,0.00866859302067126,0
P01621,41,Female,Other,High School,Liberal,4,1,3,3.0,3,Ad_Emotion,Ad_Emotion,1,2,0.010002222716159146,2
P01622,22,Female,Hispanic,PhD,Liberal,5,3,1,3.8,3,Ad_Reason,Ad_Reason,1,3,0.011335852411647033,0
P01623,51,Male,White,High School,Liberal,5,3,2,2.1,2,Ad_Reason,Ad_Reason,1,3,0.008446321404756612,1
P01624,31,Male,Other,Not Applicable,Liberal,1,3,4,5.0,1,Ad_Reason,Ad_Reason,0,3,0.007112691709268726,0
P01625,62,Female,White,High School,Liberal,3,1,1,4.6,4,Ad_Reason,Ad_Reason,0,5,0.008224049788841965,2
P01627,34,Male,Hispanic,Bachelor,Moderate,3,4,5,3.1,1,Control,Control,1,3,0.008890864636585907,0
P01628,55,Male,White,High School,Conservative,1,4,2,2.4,1,Ad_Reason,Ad_Reason,0,3,0.008446321404756612,2
P01629,40,Female,White,Bachelor,Liberal,4,2,2,3.6,2,Control,Control,0,2,0.010224494332073794,1
P01630,50,Male,White,Master,Liberal,5,1,2,2.9,1,Ad_Reason,Ad_Reason,1,2,0.011335852411647033,0
P01631,45,Male,White,Master,Conservative,1,2,1,1.1,5,Ad_Reason,Ad_Reason,0,4,0.011113580795732384,2
P01633,32,Male,Black,Bachelor,Liberal,3,2,2,4.3,3,Ad_Emotion,Ad_Emotion,0,3,0.009779951100244499,0
P01634,52,Female,White,High School,Moderate,1,1,5,2.8,1,Ad_Reason,Ad_Reason,0,3,0.009113136252500556,0
P01635,35,Other,White,High School,Moderate,2,1,5,2.8,3,Ad_Reason,Ad_Reason,1,5,0.008446321404756612,2
