participant_id,age,gender,race_ethnicity,education_level,political_affiliation,vaccine_hesitancy,trust_in_science,trust_in_government,ad_engagement_score,baseline_attitude_score,ad_group,ad_group_y,vaccine_uptake,post_attitude_score,degree_centrality
P01196,45,Male,Black,Bachelor,Moderate,2,5,4,4.2,1,Ad_Emotion,Ad_Emotion,0,3,0.010891309179817737
P01197,39,Male,White,Bachelor,Conservative,4,2,1,3.5,3,Ad_Reason,Ad_Reason,1,3,0.009335407868415203
P01198,46,Female,White,PhD,Moderate,5,4,1,4.2,5,Ad_Emotion,Ad_Emotion,1,4,0.012669482107134918
P01199,42,Female,White,PhD,Moderate,2,4,1,2.7,1,Control,Control,1,3,0.010002222716159146
P01200,56,Female,White,PhD,Conservative,1,4,5,5.0,5,Ad_Reason,Ad_Reason,1,5,0.008224049788841965
P01201,41,Female,Black,High School,Liberal,4,3,2,3.3,1,Ad_Emotion,Ad_Emotion,0,3,0.006890420093354078
P01202,34,Male,Black,Master,Conservative,3,2,4,2.2,1,Ad_Reason,Ad_Reason,0,3,0.010224494332073794
P01203,41,Male,White,Not Applicable,Conservative,5,1,3,2.7,4,Ad_Emotion,Ad_Emotion,1,2,0.010891309179817737
P01204,46,Male,White,High School,Liberal,1,4,2,1.4,1,Control,Control,0,3,0.01066903756390309
P01205,40,Male,White,Bachelor,Conservative,1,2,3,2.1,3,Control,Control,1,2,0.01066903756390309
P01206,40,Male,White,Master,Liberal,1,1,1,2.6,4,Ad_Reason,Ad_Reason,1,4,0.008001778172927318
P01207,31,Female,Hispanic,Bachelor,Moderate,5,2,4,4.5,3,Ad_Emotion,Ad_Emotion,0,2,0.01066903756390309
P01208,32,Other,White,Not Applicable,Conservative,2,3,2,2.9,3,Ad_Reason,Ad_Reason,1,4,0.009335407868415203
P01209,23,Male,White,Bachelor,Conservative,3,4,3,4.1,2,Ad_Reason,Ad_Reason,1,3,0.007779506557012669
P01210,60,Male,White,Master,Conservative,2,5,3,2.9,3,Ad_Emotion,Ad_Emotion,1,3,0.009113136252500556
P01211,25,Female,Black,Master,Conservative,4,4,3,2.0,1,Ad_Emotion,Ad_Emotion,1,3,0.011780395643476329
P01212,31,Male,Black,Bachelor,Moderate,3,4,2,3.5,5,Ad_Emotion,Ad_Emotion,0,4,0.010446765947988441
P01213,31,Female,Black,Master,Moderate,2,3,5,2.2,4,Control,Control,0,3,0.009113136252500556
P01214,50,Female,Hispanic,Bachelor,Liberal,4,1,1,2.6,4,Ad_Reason,Ad_Reason,1,3,0.008224049788841965
P01215,36,Female,White,Bachelor,Liberal,3,4,4,5.0,4,Ad_Reason,Ad_Reason,1,3,0.009335407868415203
P01216,54,Male,White,High School,Moderate,5,1,3,3.6,5,Control,Control,1,2,0.010002222716159146
P01217,31,Female,White,Bachelor,Conservative,4,1,2,2.2,3,Ad_Emotion,Ad_Emotion,1,3,0.01066903756390309
P01220,65,Male,White,High School,Conservative,4,3,5,1.2,4,Control,Control,1,4,0.00955767948432985
P01221,25,Male,Black,High School,Liberal,4,3,3,4.1,1,Ad_Reason,Ad_Reason,0,3,0.009779951100244499
P01222,43,Female,Black,High School,Moderate,5,5,3,3.3,3,Control,Control,1,3,0.01066903756390309
P01223,47,Female,Hispanic,Bachelor,Moderate,4,3,4,2.8,2,Ad_Reason,Ad_Reason,1,3,0.010002222716159146
P01224,44,Female,White,Not Applicable,Moderate,3,5,2,1.3,4,Ad_Reason,Ad_Reason,1,4,0.010224494332073794
P01225,37,Female,Asian,Bachelor,Conservative,1,1,2,2.7,3,Ad_Reason,Ad_Reason,1,3,0.007557234941098022
P01226,38,Female,White,Bachelor,Moderate,3,1,5,3.2,2,Ad_Emotion,Ad_Emotion,1,4,0.010446765947988441
P01227,40,Male,Black,Bachelor,Conservative,3,2,3,1.8,4,Ad_Reason,Ad_Reason,1,4,0.008446321404756612
P01228,38,Female,Hispanic,High School,Conservative,5,2,4,3.0,3,Ad_Reason,Ad_Reason,1,3,0.01155812402756168
P01229,51,Female,White,Master,Moderate,5,1,1,4.6,1,Ad_Emotion,Ad_Emotion,0,3,0.01066903756390309
P01230,66,Female,Asian,Bachelor,Conservative,4,4,4,3.2,5,Ad_Reason,Ad_Reason,1,5,0.009779951100244499
P01231,33,Female,Black,Bachelor,Liberal,5,2,4,3.6,4,Control,Control,0,2,0.007557234941098022
P01232,23,Male,White,PhD,Liberal,4,3,4,2.6,2,Control,Control,0,3,0.00866859302067126
P01233,38,Female,White,Master,Liberal,1,2,4,1.9,2,Ad_Reason,Ad_Reason,1,4,0.008446321404756612
P01234,70,Male,White,Master,Moderate,2,1,3,2.4,5,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499
P01235,30,Male,Hispanic,PhD,Liberal,5,4,4,4.1,5,Control,Control,0,3,0.009779951100244499
P01236,59,Female,Hispanic,Not Applicable,Conservative,5,1,2,2.9,3,Ad_Emotion,Ad_Emotion,1,4,0.011113580795732384
P01237,60,Male,White,Bachelor,Moderate,1,4,2,2.8,5,Ad_Emotion,Ad_Emotion,1,4,0.010891309179817737
P01238,33,Female,White,High School,Moderate,5,2,4,2.5,4,Control,Control,0,3,0.00866859302067126
P01239,46,Male,White,Bachelor,Liberal,1,3,2,1.7,5,Ad_Emotion,Ad_Emotion,1,5,0.008446321404756612
P01240,59,Male,White,Master,Liberal,4,3,3,4.4,4,Control,Control,1,3,0.010224494332073794
P01241,35,Female,White,High School,Liberal,5,1,1,2.8,1,Ad_Emotion,Ad_Emotion,0,4,0.012002667259390976
P01242,37,Female,White,High School,Moderate,5,4,4,2.5,5,Control,Control,1,4,0.012002667259390976
P01243,33,Female,White,High School,Moderate,4,2,2,3.1,1,Ad_Reason,Ad_Reason,0,4,0.009335407868415203
P01245,32,Female,Hispanic,Bachelor,Moderate,3,4,3,3.3,5,Control,Control,1,3,0.00955767948432985
P01246,25,Male,Hispanic,High School,Conservative,1,4,3,2.3,2,Control,Control,1,5,0.009779951100244499
P01247,40,Male,Asian,High School,Liberal,2,2,1,3.1,1,Control,Control,1,5,0.008890864636585907
P01248,30,Male,Hispanic,Master,Conservative,3,4,5,2.9,2,Ad_Emotion,Ad_Emotion,0,4,0.009113136252500556
P01249,42,Female,White,High School,Moderate,2,3,5,4.9,1,Ad_Reason,Ad_Reason,1,5,0.010446765947988441
P01250,21,Female,White,High School,Moderate,3,1,5,4.9,3,Control,Control,0,4,0.00955767948432985
P01251,43,Male,White,Bachelor,Liberal,3,5,1,3.8,1,Ad_Emotion,Ad_Emotion,1,4,0.010446765947988441
P01252,50,Female,Asian,Bachelor,Moderate,3,4,4,2.9,3,Ad_Reason,Ad_Reason,0,3,0.00955767948432985
P01253,18,Female,Hispanic,High School,Liberal,1,3,5,3.8,2,Ad_Reason,Ad_Reason,1,3,0.009779951100244499
P01254,44,Male,Black,Bachelor,Conservative,2,3,5,3.8,1,Ad_Reason,Ad_Reason,1,4,0.0066681484774394305
P01255,54,Male,Hispanic,High School,Moderate,4,1,2,2.5,3,Ad_Reason,Ad_Reason,0,3,0.010891309179817737
P01256,25,Female,Black,Master,Conservative,4,1,2,1.4,1,Control,Control,1,3,0.009113136252500556
P01257,60,Female,White,High School,Moderate,5,5,4,1.1,4,Control,Control,1,2,0.00955767948432985
P01258,45,Female,White,High School,Liberal,1,5,3,2.9,4,Ad_Emotion,Ad_Emotion,1,2,0.010446765947988441
P01259,31,Male,White,Master,Moderate,1,5,1,2.5,2,Ad_Emotion,Ad_Emotion,1,3,0.010002222716159146
P01260,39,Other,White,Bachelor,Liberal,1,2,5,2.5,4,Ad_Emotion,Ad_Emotion,0,4,0.011113580795732384
P01261,46,Male,Black,High School,Conservative,3,2,1,2.2,5,Ad_Reason,Ad_Reason,1,4,0.011113580795732384
P01262,40,Male,White,High School,Conservative,1,3,2,2.2,3,Ad_Reason,Ad_Reason,0,3,0.007557234941098022
P01263,46,Other,White,Master,Conservative,4,1,1,3.7,5,Control,Control,1,3,0.012669482107134918
P01264,28,Male,White,Master,Moderate,1,4,2,1.0,4,Ad_Reason,Ad_Reason,0,4,0.00866859302067126
P01265,42,Female,White,High School,Moderate,3,1,1,3.6,2,Ad_Reason,Ad_Reason,1,1,0.009335407868415203
P01266,23,Male,White,Bachelor,Conservative,2,2,2,2.7,5,Ad_Reason,Ad_Reason,1,2,0.010002222716159146
P01267,38,Female,White,High School,Liberal,1,3,1,4.4,2,Ad_Emotion,Ad_Emotion,0,3,0.008001778172927318
P01269,31,Male,Hispanic,High School,Moderate,5,5,5,1.3,5,Control,Control,1,2,0.007557234941098022
P01270,54,Female,White,Bachelor,Conservative,3,5,4,1.1,1,Ad_Reason,Ad_Reason,1,3,0.010446765947988441
P01271,53,Male,Black,High School,Conservative,1,2,1,1.9,5,Ad_Reason,Ad_Reason,1,4,0.010446765947988441
P01272,47,Female,Hispanic,Bachelor,Conservative,5,3,3,3.3,3,Control,Control,1,3,0.010002222716159146
P01273,26,Male,Hispanic,Bachelor,Moderate,5,1,4,1.3,2,Ad_Reason,Ad_Reason,0,5,0.0064458768615247835
P01274,36,Male,Hispanic,Bachelor,Liberal,2,2,1,3.1,1,Ad_Reason,Ad_Reason,0,3,0.010002222716159146
P01275,54,Male,White,High School,Moderate,4,1,3,3.7,4,Ad_Emotion,Ad_Emotion,1,3,0.008890864636585907
P01277,67,Female,White,Master,Conservative,4,1,5,2.1,1,Control,Control,1,4,0.01066903756390309
P01278,44,Male,White,High School,Liberal,4,4,5,1.0,5,Control,Control,1,4,0.012669482107134918
P01279,42,Male,Hispanic,Master,Moderate,3,3,3,4.5,5,Control,Control,0,1,0.010446765947988441
P01280,36,Male,Black,High School,Liberal,1,2,2,4.8,5,Ad_Emotion,Ad_Emotion,1,2,0.011335852411647033
P01281,41,Male,White,Bachelor,Conservative,1,1,1,4.2,1,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499
P01282,38,Female,White,Bachelor,Liberal,3,3,4,2.7,1,Ad_Reason,Ad_Reason,0,3,0.009335407868415203
P01284,51,Male,Black,High School,Liberal,1,1,5,3.7,4,Ad_Reason,Ad_Reason,0,4,0.011335852411647033
P01285,30,Female,Asian,High School,Liberal,5,5,2,3.1,2,Ad_Reason,Ad_Reason,1,5,0.00866859302067126
P01286,24,Female,Hispanic,Bachelor,Conservative,1,5,1,1.0,5,Ad_Emotion,Ad_Emotion,1,2,0.01155812402756168
P01287,18,Male,Hispanic,Not Applicable,Liberal,3,4,1,3.9,4,Control,Control,1,3,0.00866859302067126
P01288,46,Female,White,Not Applicable,Liberal,2,3,4,4.2,2,Ad_Emotion,Ad_Emotion,1,5,0.01066903756390309
P01289,26,Female,White,Bachelor,Liberal,1,2,4,4.1,5,Ad_Reason,Ad_Reason,0,4,0.01066903756390309
P01290,18,Female,White,Bachelor,Moderate,3,2,4,3.5,2,Ad_Emotion,Ad_Emotion,1,1,0.010002222716159146
P01291,44,Female,White,Bachelor,Moderate,5,3,1,4.0,5,Control,Control,0,1,0.00866859302067126
P01293,39,Female,White,Bachelor,Moderate,5,3,1,2.9,5,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499
P01294,50,Female,Asian,Master,Liberal,5,4,5,2.3,5,Ad_Emotion,Ad_Emotion,1,3,0.011780395643476329
P01295,40,Female,White,Master,Conservative,2,3,2,4.5,5,Ad_Emotion,Ad_Emotion,0,2,0.013780840186708157
P01296,38,Female,White,Bachelor,Conservative,1,1,4,3.2,5,Ad_Reason,Ad_Reason,1,2,0.012002667259390976
P01297,51,Male,White,Bachelor,Conservative,4,5,1,2.8,4,Ad_Emotion,Ad_Emotion,0,5,0.011780395643476329
P01298,36,Other,White,Bachelor,Conservative,3,1,5,2.0,3,Ad_Emotion,Ad_Emotion,1,4,0.010002222716159146
P01299,43,Female,Black,Bachelor,Liberal,4,1,3,1.9,4,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499
P01300,43,Male,White,Bachelor,Liberal,1,3,5,1.9,4,Control,Control,0,3,0.00955767948432985
P01302,51,Female,Hispanic,High School,Liberal,1,2,5,3.6,5,Ad_Reason,Ad_Reason,1,4,0.011113580795732384
P01303,37,Male,White,Bachelor,Liberal,3,1,4,3.3,4,Ad_Reason,Ad_Reason,0,3,0.009113136252500556
P01304,30,Male,Asian,Master,Liberal,4,3,4,3.8,2,Control,Control,0,4,0.01066903756390309
P01305,46,Male,White,High School,Moderate,5,2,3,2.2,5,Control,Control,1,3,0.009779951100244499
P01306,29,Male,Black,Bachelor,Moderate,1,1,1,1.2,1,Control,Control,0,4,0.010224494332073794
P01308,39,Male,Other,High School,Liberal,2,5,3,2.9,2,Ad_Emotion,Ad_Emotion,0,3,0.008001778172927318
P01309,53,Male,White,Not Applicable,Conservative,4,4,4,3.8,1,Control,Control,1,3,0.012447210491220271
P01310,45,Female,White,Master,Liberal,5,1,1,3.4,5,Ad_Emotion,Ad_Emotion,1,4,0.013114025338964214
P01311,39,Female,White,High School,Conservative,3,3,1,2.9,3,Ad_Emotion,Ad_Emotion,1,3,0.008224049788841965
P01312,49,Male,White,Master,Liberal,5,5,2,3.2,3,Ad_Reason,Ad_Reason,0,3,0.010446765947988441
P01313,56,Male,Black,High School,Moderate,4,2,4,4.4,4,Control,Control,1,3,0.009779951100244499
P01314,46,Female,Hispanic,Not Applicable,Moderate,5,4,1,2.7,1,Control,Control,0,3,0.008224049788841965
P01315,40,Male,White,High School,Liberal,4,1,2,3.7,5,Ad_Emotion,Ad_Emotion,1,4,0.011335852411647033
P01316,24,Male,White,High School,Moderate,5,4,2,3.3,2,Control,Control,1,4,0.010446765947988441
P01317,27,Male,White,Bachelor,Moderate,1,5,4,1.3,2,Ad_Reason,Ad_Reason,0,3,0.00955767948432985
P01318,36,Female,White,Master,Conservative,2,4,1,1.7,5,Ad_Reason,Ad_Reason,0,3,0.012002667259390976
P01319,32,Female,White,High School,Conservative,4,1,1,3.0,5,Ad_Reason,Ad_Reason,0,4,0.011113580795732384
P01320,37,Female,White,Bachelor,Liberal,4,5,5,2.5,2,Control,Control,0,5,0.007557234941098022
P01321,40,Female,Asian,High School,Liberal,2,2,1,2.0,1,Control,Control,1,3,0.009779951100244499
P01322,46,Female,White,PhD,Liberal,3,1,2,4.1,4,Control,Control,0,3,0.009335407868415203
P01323,39,Male,White,High School,Liberal,4,4,3,1.5,4,Control,Control,0,3,0.01066903756390309
P01324,45,Female,Hispanic,PhD,Moderate,1,1,4,2.8,4,Control,Control,1,4,0.008890864636585907
P01325,40,Male,White,Bachelor,Conservative,5,5,3,2.1,5,Ad_Reason,Ad_Reason,1,2,0.010002222716159146
P01326,18,Female,Black,Bachelor,Moderate,1,4,1,4.5,2,Ad_Emotion,Ad_Emotion,1,4,0.009335407868415203
P01327,28,Female,Black,Not Applicable,Conservative,4,2,2,5.0,2,Ad_Reason,Ad_Reason,0,2,0.007334963325183374
P01328,38,Female,Black,Not Applicable,Moderate,3,3,3,2.7,2,Control,Control,0,1,0.00955767948432985
P01329,25,Male,White,Bachelor,Conservative,4,2,4,3.8,2,Ad_Reason,Ad_Reason,1,4,0.011113580795732384
P01330,47,Male,White,High School,Liberal,3,1,5,4.3,2,Control,Control,0,4,0.008224049788841965
P01331,58,Female,Hispanic,Bachelor,Conservative,2,3,3,3.9,3,Control,Control,1,4,0.015781284729939987
P01332,54,Female,Asian,Bachelor,Conservative,5,5,5,3.8,5,Ad_Reason,Ad_Reason,1,3,0.009335407868415203
P01333,37,Female,White,Bachelor,Liberal,1,4,1,1.2,5,Control,Control,1,2,0.009113136252500556
P01334,57,Male,White,Bachelor,Liberal,3,4,1,4.2,3,Ad_Emotion,Ad_Emotion,0,3,0.008446321404756612
P01335,41,Female,White,High School,Conservative,1,5,4,3.4,4,Control,Control,1,3,0.009335407868415203
P01336,35,Female,White,Master,Conservative,2,1,5,2.8,1,Ad_Emotion,Ad_Emotion,0,5,0.008890864636585907
P01337,32,Female,White,Master,Liberal,4,2,5,2.9,5,Ad_Emotion,Ad_Emotion,0,4,0.009335407868415203
P01338,36,Female,White,High School,Moderate,3,3,4,3.3,5,Control,Control,0,4,0.009335407868415203
P01339,35,Female,White,Bachelor,Moderate,5,5,3,2.7,3,Ad_Reason,Ad_Reason,1,3,0.007779506557012669
P01340,42,Female,Asian,Bachelor,Moderate,3,1,4,2.6,5,Ad_Emotion,Ad_Emotion,1,3,0.007779506557012669
P01341,41,Female,White,Bachelor,Liberal,4,1,1,2.0,5,Ad_Reason,Ad_Reason,0,2,0.008890864636585907
P01342,40,Female,Asian,High School,Liberal,4,3,5,3.5,4,Ad_Emotion,Ad_Emotion,1,3,0.010446765947988441
P01343,45,Male,Asian,Bachelor,Moderate,5,5,2,2.8,3,Control,Control,1,3,0.008890864636585907
P01344,54,Male,White,High School,Conservative,5,2,2,2.2,5,Control,Control,0,5,0.010446765947988441
P01345,51,Female,Black,Bachelor,Conservative,2,2,1,3.1,2,Ad_Emotion,Ad_Emotion,0,4,0.012224938875305623
P01346,22,Female,Asian,Master,Liberal,1,5,5,3.0,3,Control,Control,0,3,0.011335852411647033
P01347,18,Female,White,Bachelor,Conservative,3,4,5,3.5,4,Ad_Emotion,Ad_Emotion,0,4,0.01066903756390309
P01348,51,Female,White,High School,Liberal,2,2,4,3.0,1,Control,Control,0,2,0.010224494332073794
P01350,37,Female,Hispanic,Not Applicable,Conservative,2,5,4,2.7,2,Control,Control,0,3,0.008446321404756612
P01351,25,Female,Black,High School,Moderate,5,1,2,2.8,2,Ad_Reason,Ad_Reason,0,3,0.008446321404756612
P01352,18,Male,White,Master,Liberal,5,5,5,3.3,1,Control,Control,1,3,0.010224494332073794
P01353,46,Male,Black,Bachelor,Liberal,4,1,3,3.4,3,Ad_Reason,Ad_Reason,1,4,0.008001778172927318
P01354,49,Female,White,Master,Moderate,3,5,4,4.2,4,Control,Control,1,5,0.010891309179817737
P01355,33,Male,White,High School,Conservative,3,4,3,4.0,5,Ad_Reason,Ad_Reason,0,3,0.008224049788841965
P01356,18,Female,Asian,High School,Conservative,3,4,2,3.0,5,Ad_Emotion,Ad_Emotion,1,4,0.00955767948432985
P01357,33,Male,White,PhD,Conservative,2,5,3,1.6,5,Ad_Emotion,Ad_Emotion,1,5,0.009779951100244499
P01358,44,Female,Hispanic,High School,Conservative,2,1,5,3.7,2,Ad_Reason,Ad_Reason,1,2,0.008446321404756612
P01359,22,Female,Black,High School,Conservative,3,5,3,3.5,3,Control,Control,0,3,0.007334963325183374
P01360,42,Female,Black,Bachelor,Conservative,4,1,3,3.2,1,Ad_Reason,Ad_Reason,1,4,0.009335407868415203
P01361,39,Male,White,High School,Liberal,1,4,4,3.8,3,Control,Control,1,4,0.007779506557012669
P01362,46,Female,Hispanic,Master,Conservative,2,3,3,2.6,4,Ad_Emotion,Ad_Emotion,0,3,0.011335852411647033
P01363,41,Male,Hispanic,Bachelor,Liberal,3,2,3,1.4,4,Control,Control,1,3,0.008890864636585907
P01365,54,Other,White,Master,Liberal,2,5,3,1.0,2,Control,Control,0,4,0.007779506557012669
P01367,39,Female,Asian,Bachelor,Conservative,2,1,4,2.9,4,Control,Control,1,2,0.009113136252500556
P01368,28,Male,Black,Master,Conservative,1,2,5,3.9,2,Ad_Reason,Ad_Reason,1,3,0.010002222716159146
P01369,34,Male,White,Bachelor,Conservative,1,4,2,3.8,3,Ad_Reason,Ad_Reason,1,4,0.00955767948432985
P01371,37,Female,White,Master,Moderate,1,2,5,2.2,2,Ad_Emotion,Ad_Emotion,0,2,0.01066903756390309
P01372,60,Female,Hispanic,High School,Liberal,2,4,3,2.2,2,Ad_Reason,Ad_Reason,1,3,0.012224938875305623
P01373,23,Female,White,Master,Liberal,2,1,2,4.9,5,Ad_Emotion,Ad_Emotion,1,4,0.009335407868415203
P01374,20,Female,White,High School,Liberal,4,1,5,2.8,3,Ad_Reason,Ad_Reason,1,4,0.011335852411647033
P01375,57,Male,White,High School,Liberal,5,1,4,2.7,2,Control,Control,1,4,0.00866859302067126
P01376,37,Male,White,Master,Moderate,1,3,2,3.3,1,Ad_Emotion,Ad_Emotion,1,3,0.011335852411647033
P01377,31,Male,Black,Master,Conservative,2,2,2,1.4,3,Ad_Emotion,Ad_Emotion,1,3,0.008446321404756612
P01378,52,Male,White,Bachelor,Conservative,1,3,3,2.6,3,Ad_Reason,Ad_Reason,1,3,0.01155812402756168
P01379,32,Male,White,High School,Liberal,2,1,2,2.1,4,Ad_Emotion,Ad_Emotion,0,5,0.011113580795732384
P01380,61,Female,White,High School,Liberal,2,4,2,1.9,3,Ad_Emotion,Ad_Emotion,0,3,0.009779951100244499
P01381,48,Male,White,High School,Liberal,2,2,1,2.7,3,Control,Control,1,5,0.010446765947988441
P01382,34,Female,Asian,High School,Liberal,5,4,3,3.0,5,Ad_Emotion,Ad_Emotion,1,4,0.009335407868415203
P01383,65,Male,Black,High School,Liberal,1,5,2,1.7,3,Control,Control,1,1,0.010224494332073794
P01384,32,Other,White,Bachelor,Liberal,5,2,2,2.6,2,Ad_Reason,Ad_Reason,0,4,0.012891753723049567
P01385,48,Female,White,PhD,Moderate,5,4,1,3.1,1,Ad_Emotion,Ad_Emotion,0,3,0.010891309179817737
P01386,43,Female,White,High School,Moderate,5,1,1,3.5,5,Control,Control,0,2,0.008890864636585907
P01387,55,Male,Hispanic,High School,Moderate,5,3,4,2.7,5,Ad_Reason,Ad_Reason,1,5,0.00955767948432985
P01388,58,Female,Hispanic,Master,Liberal,4,4,3,3.3,5,Ad_Emotion,Ad_Emotion,0,3,0.011113580795732384
P01389,40,Female,Black,Master,Conservative,1,5,1,2.6,5,Ad_Reason,Ad_Reason,1,3,0.00866859302067126
P01390,30,Male,Hispanic,PhD,Conservative,1,1,2,4.3,4,Ad_Emotion,Ad_Emotion,0,4,0.009113136252500556
P01391,45,Male,Hispanic,High School,Liberal,2,5,1,3.5,5,Ad_Reason,Ad_Reason,1,2,0.009113136252500556
P01392,31,Male,Hispanic,High School,Liberal,1,3,5,2.3,4,Ad_Reason,Ad_Reason,1,5,0.009335407868415203
P01393,64,Female,White,Bachelor,Liberal,5,5,4,2.5,4,Control,Control,1,3,0.009335407868415203
P01394,41,Female,White,Bachelor,Liberal,3,4,4,3.4,3,Ad_Reason,Ad_Reason,1,3,0.010002222716159146
P01395,35,Female,White,Bachelor,Moderate,1,4,3,2.5,1,Ad_Emotion,Ad_Emotion,1,2,0.01066903756390309
P01396,42,Male,White,Bachelor,Liberal,3,1,4,1.1,3,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499
P01397,23,Male,Black,High School,Moderate,4,3,3,3.3,4,Control,Control,1,2,0.010002222716159146
P01398,28,Female,White,Bachelor,Liberal,2,3,5,2.6,3,Ad_Emotion,Ad_Emotion,0,4,0.00955767948432985
P01399,54,Male,White,Bachelor,Conservative,2,2,2,3.7,2,Ad_Emotion,Ad_Emotion,1,3,0.010002222716159146
P01400,32,Female,White,Bachelor,Liberal,2,2,5,3.0,5,Ad_Emotion,Ad_Emotion,0,4,0.010446765947988441
P01401,27,Female,White,Bachelor,Moderate,4,4,3,3.6,5,Ad_Reason,Ad_Reason,1,2,0.010891309179817737
P01402,46,Male,White,Bachelor,Liberal,5,5,3,5.0,4,Ad_Reason,Ad_Reason,0,3,0.009779951100244499
P01403,54,Female,Hispanic,High School,Liberal,3,5,3,4.3,3,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499
P01404,48,Male,Asian,High School,Conservative,1,1,2,2.6,2,Control,Control,0,3,0.008224049788841965
P01405,51,Female,Black,Bachelor,Moderate,5,3,3,3.4,2,Ad_Reason,Ad_Reason,1,4,0.009113136252500556
P01406,30,Male,White,High School,Liberal,2,4,5,3.1,2,Control,Control,1,3,0.007334963325183374
P01407,22,Female,White,Bachelor,Moderate,2,5,2,3.3,4,Ad_Emotion,Ad_Emotion,1,4,0.011113580795732384
P01408,58,Male,White,Master,Moderate,5,2,5,1.4,3,Ad_Emotion,Ad_Emotion,1,4,0.009113136252500556
P01409,36,Male,Hispanic,High School,Moderate,3,4,2,4.1,2,Ad_Reason,Ad_Reason,1,4,0.009113136252500556
P01411,55,Male,White,Not Applicable,Conservative,4,4,2,3.0,3,Ad_Reason,Ad_Reason,1,4,0.010891309179817737
P01412,46,Female,Asian,High School,Liberal,2,5,1,1.2,3,Ad_Emotion,Ad_Emotion,1,3,0.008890864636585907
P01413,45,Male,White,High School,Liberal,3,1,5,2.3,5,Ad_Emotion,Ad_Emotion,0,3,0.011113580795732384
P01414,65,Female,White,High School,Liberal,1,2,1,3.2,1,Ad_Reason,Ad_Reason,1,4,0.012669482107134918
P01415,32,Male,White,Master,Conservative,2,2,1,3.9,1,Ad_Reason,Ad_Reason,0,3,0.010224494332073794
P01416,51,Female,White,High School,Conservative,5,5,3,4.0,2,Ad_Reason,Ad_Reason,1,2,0.010002222716159146
P01417,40,Male,White,Bachelor,Conservative,3,1,3,2.8,3,Ad_Emotion,Ad_Emotion,1,4,0.012002667259390976
P01418,43,Male,White,Bachelor,Conservative,2,2,1,4.0,5,Ad_Emotion,Ad_Emotion,0,3,0.00866859302067126
P01419,58,Male,Black,High School,Conservative,1,1,2,2.9,4,Control,Control,1,3,0.011780395643476329
P01420,46,Female,Hispanic,High School,Moderate,1,4,3,2.3,1,Ad_Reason,Ad_Reason,0,2,0.009335407868415203
P01421,46,Male,White,Master,Conservative,5,3,5,3.4,1,Ad_Emotion,Ad_Emotion,1,3,0.008890864636585907
P01422,52,Female,Hispanic,Bachelor,Conservative,4,3,1,2.1,3,Ad_Emotion,Ad_Emotion,1,4,0.010446765947988441
P01423,35,Female,White,High School,Liberal,5,3,5,2.9,4,Ad_Reason,Ad_Reason,1,2,0.010446765947988441
P01424,29,Male,White,High School,Moderate,3,2,5,2.5,1,Control,Control,0,3,0.009113136252500556
P01425,27,Female,White,Bachelor,Conservative,5,5,5,1.4,5,Ad_Reason,Ad_Reason,0,3,0.009335407868415203
P01426,18,Male,Black,Master,Conservative,3,3,1,3.3,1,Control,Control,1,3,0.010224494332073794
P01427,64,Male,White,High School,Conservative,4,5,4,3.1,3,Ad_Emotion,Ad_Emotion,1,2,0.010224494332073794
P01428,26,Female,Black,Bachelor,Conservative,5,3,3,4.2,3,Control,Control,0,2,0.007112691709268726
P01429,37,Female,Asian,High School,Conservative,1,4,5,1.1,4,Ad_Emotion,Ad_Emotion,0,3,0.010891309179817737
P01430,36,Female,White,High School,Moderate,3,3,1,2.3,1,Ad_Reason,Ad_Reason,1,3,0.01066903756390309
P01431,43,Male,Black,High School,Liberal,3,5,4,4.1,4,Ad_Reason,Ad_Reason,1,2,0.009335407868415203
P01432,49,Male,Hispanic,Master,Liberal,1,2,1,3.5,1,Ad_Reason,Ad_Reason,1,2,0.01355856857079351
P01433,50,Male,White,Bachelor,Moderate,5,4,3,3.7,2,Control,Control,0,3,0.01155812402756168
P01434,33,Female,White,Master,Moderate,4,5,1,4.5,1,Ad_Emotion,Ad_Emotion,1,4,0.013780840186708157
P01435,37,Female,Black,Bachelor,Moderate,2,1,2,2.2,3,Ad_Reason,Ad_Reason,0,2,0.010002222716159146
P01436,43,Female,Black,Master,Moderate,5,3,2,2.1,3,Ad_Reason,Ad_Reason,0,5,0.008890864636585907
P01437,37,Male,White,High School,Conservative,5,4,5,3.9,2,Ad_Emotion,Ad_Emotion,1,4,0.011335852411647033
P01438,59,Male,White,High School,Liberal,3,2,1,3.6,1,Ad_Reason,Ad_Reason,0,5,0.008224049788841965
P01439,45,Male,White,Not Applicable,Conservative,3,1,1,2.9,1,Ad_Emotion,Ad_Emotion,1,4,0.008890864636585907
P01440,48,Male,White,Master,Conservative,4,3,5,2.8,3,Ad_Emotion,Ad_Emotion,1,4,0.010002222716159146
