participant_id,age,gender,race_ethnicity,education_level,political_affiliation,vaccine_hesitancy,trust_in_science,trust_in_government,ad_engagement_score,baseline_attitude_score,ad_group,ad_group_y,vaccine_uptake,post_attitude_score
P00642,60,Female,Hispanic,PhD,Liberal,3,3,5,1.6,1,Ad_Reason,Ad_Reason,1,5
P00643,36,Female,White,High School,Conservative,5,1,2,2.4,3,Ad_Emotion,Ad_Emotion,1,4
P00644,21,Male,White,Bachelor,Liberal,1,1,1,2.1,4,Ad_Reason,Ad_Reason,1,2
P00645,37,Male,White,Master,Liberal,5,4,4,3.7,3,Control,Control,0,4
P00646,36,Female,White,High School,Moderate,2,1,5,1.8,4,Control,Control,1,2
P00648,39,Female,White,Master,Moderate,4,1,3,3.2,2,Ad_Reason,Ad_Reason,1,5
P00649,37,Female,White,High School,Liberal,2,5,3,2.3,4,Ad_Emotion,Ad_Emotion,1,5
P00650,48,Male,White,High School,Conservative,2,4,2,3.3,4,Control,Control,0,2
P00651,62,Male,White,High School,Conservative,5,2,1,2.2,5,Control,Control,0,2
P00652,53,Male,White,High School,Liberal,5,1,4,1.9,4,Ad_Reason,Ad_Reason,1,4
P00653,36,Male,Asian,Master,Moderate,1,5,4,3.7,4,Ad_Emotion,Ad_Emotion,1,5
P00654,26,Male,Hispanic,Not Applicable,Conservative,1,3,5,4.4,2,Control,Control,1,2
P00655,70,Female,White,High School,Moderate,2,1,4,3.4,2,Control,Control,1,3
P00656,40,Male,White,Bachelor,Liberal,3,5,2,1.8,1,Ad_Emotion,Ad_Emotion,1,4
P00657,40,Male,Hispanic,Bachelor,Moderate,1,5,3,2.2,1,Ad_Emotion,Ad_Emotion,0,4
P00658,39,Male,White,High School,Liberal,2,5,5,4.5,2,Control,Control,1,3
P00659,42,Female,Other,High School,Liberal,5,5,1,3.8,1,Control,Control,0,5
P00661,33,Female,Hispanic,Bachelor,Moderate,5,4,4,2.3,3,Control,Control,1,2
P00662,33,Female,White,Bachelor,Conservative,5,5,2,3.2,1,Ad_Reason,Ad_Reason,0,4
P00663,39,Male,Hispanic,Bachelor,Conservative,4,4,1,2.9,1,Ad_Reason,Ad_Reason,0,5
P00665,31,Male,Black,Master,Conservative,1,3,4,2.3,4,Ad_Emotion,Ad_Emotion,1,5
P00666,41,Male,White,Bachelor,Liberal,5,2,5,3.6,3,Ad_Emotion,Ad_Emotion,1,4
P00667,36,Female,White,Master,Moderate,4,2,1,3.3,3,Ad_Reason,Ad_Reason,1,2
P00668,58,Female,Asian,Bachelor,Conservative,2,5,4,1.3,4,Control,Control,0,3
P00669,18,Male,White,PhD,Moderate,2,4,3,1.0,4,Ad_Reason,Ad_Reason,1,2
P00670,53,Male,Hispanic,Master,Moderate,2,3,1,2.6,4,Control,Control,1,4
P00671,54,Female,White,Bachelor,Moderate,4,1,3,3.4,1,Ad_Reason,Ad_Reason,0,3
P00672,18,Male,Hispanic,Bachelor,Conservative,4,2,3,4.6,2,Control,Control,1,3
P00673,35,Male,White,PhD,Moderate,1,2,4,2.2,3,Ad_Reason,Ad_Reason,0,4
P00674,35,Male,Other,Master,Conservative,4,1,5,3.5,5,Ad_Emotion,Ad_Emotion,0,5
P00675,23,Male,Hispanic,PhD,Conservative,2,4,5,2.7,4,Ad_Reason,Ad_Reason,0,4
P00677,26,Male,Hispanic,Bachelor,Moderate,3,4,1,3.0,3,Ad_Reason,Ad_Reason,0,3
P00678,61,Male,Hispanic,High School,Liberal,5,5,1,2.6,4,Ad_Reason,Ad_Reason,0,4
P00679,51,Female,White,High School,Liberal,1,5,4,3.2,1,Ad_Reason,Ad_Reason,1,5
P00680,55,Female,Black,Not Applicable,Moderate,2,1,4,3.2,3,Ad_Emotion,Ad_Emotion,1,3
P00681,48,Male,White,High School,Conservative,2,3,2,4.4,3,Ad_Reason,Ad_Reason,0,1
P00682,26,Male,Hispanic,High School,Moderate,3,1,2,3.0,5,Ad_Emotion,Ad_Emotion,1,4
P00683,33,Male,White,Bachelor,Conservative,1,3,3,3.4,5,Ad_Emotion,Ad_Emotion,1,4
P00684,45,Female,White,Master,Liberal,5,1,2,1.3,3,Ad_Reason,Ad_Reason,1,5
P00685,25,Female,White,High School,Conservative,1,5,5,1.8,1,Ad_Reason,Ad_Reason,1,2
P00686,48,Female,White,High School,Moderate,1,4,3,2.6,4,Ad_Reason,Ad_Reason,0,3
P00687,37,Female,Hispanic,Bachelor,Moderate,2,2,2,3.1,4,Control,Control,0,2
P00688,35,Female,Other,High School,Conservative,4,1,5,2.2,3,Ad_Reason,Ad_Reason,0,3
P00689,48,Female,White,Master,Liberal,5,1,5,3.3,4,Ad_Emotion,Ad_Emotion,1,5
P00690,45,Female,White,High School,Liberal,1,2,3,2.5,5,Ad_Reason,Ad_Reason,1,5
P00691,35,Male,Asian,Master,Moderate,3,1,3,4.7,4,Control,Control,0,3
P00692,53,Other,White,Master,Moderate,2,4,5,2.8,2,Ad_Reason,Ad_Reason,1,5
P00693,27,Male,White,Bachelor,Conservative,4,2,4,3.4,5,Control,Control,0,3
P00694,47,Male,White,High School,Conservative,4,2,3,2.8,5,Control,Control,1,4
P00695,47,Female,White,Bachelor,Liberal,2,4,1,2.9,3,Ad_Reason,Ad_Reason,0,2
P00696,36,Male,White,Bachelor,Moderate,1,4,4,3.5,3,Ad_Emotion,Ad_Emotion,1,5
P00697,43,Female,Asian,High School,Moderate,2,2,1,3.1,4,Control,Control,0,3
P00698,24,Female,White,Master,Conservative,4,4,2,2.5,4,Ad_Reason,Ad_Reason,1,4
P00701,33,Male,White,High School,Moderate,3,2,5,3.6,4,Control,Control,1,3
P00702,52,Male,Hispanic,High School,Liberal,4,1,3,4.1,1,Control,Control,0,3
P00703,31,Female,White,Not Applicable,Liberal,3,3,1,4.0,5,Ad_Reason,Ad_Reason,0,4
P00704,23,Female,White,Bachelor,Moderate,3,2,4,1.9,2,Ad_Reason,Ad_Reason,0,2
P00705,21,Female,Black,Bachelor,Conservative,3,3,2,1.0,1,Ad_Emotion,Ad_Emotion,0,4
P00706,47,Male,White,Bachelor,Moderate,4,4,4,5.0,4,Ad_Emotion,Ad_Emotion,1,4
P00707,24,Female,Hispanic,High School,Conservative,1,4,1,3.5,3,Control,Control,0,3
P00708,61,Male,White,Master,Moderate,1,1,2,3.4,3,Control,Control,0,3
P00709,18,Female,Black,High School,Conservative,5,4,5,2.3,2,Ad_Reason,Ad_Reason,1,4
P00711,42,Female,White,Bachelor,Liberal,1,2,3,1.0,5,Ad_Emotion,Ad_Emotion,0,3
P00712,38,Male,Other,PhD,Liberal,5,2,5,2.7,1,Ad_Emotion,Ad_Emotion,0,2
P00713,33,Male,Hispanic,Bachelor,Conservative,2,1,1,3.2,2,Ad_Reason,Ad_Reason,1,2
P00714,44,Female,White,High School,Liberal,3,3,5,4.7,5,Ad_Emotion,Ad_Emotion,1,4
P00715,39,Female,White,Bachelor,Conservative,1,4,1,3.2,5,Ad_Emotion,Ad_Emotion,0,2
P00716,53,Female,White,High School,Liberal,1,5,2,3.7,5,Ad_Emotion,Ad_Emotion,1,5
P00717,41,Female,Black,High School,Moderate,1,1,4,2.5,4,Ad_Emotion,Ad_Emotion,1,4
P00719,35,Female,Asian,Bachelor,Moderate,2,5,5,1.5,3,Ad_Reason,Ad_Reason,1,4
P00720,39,Male,White,High School,Liberal,3,2,3,1.8,5,Control,Control,1,4
P00721,43,Female,Hispanic,Bachelor,Liberal,1,2,5,1.8,3,Ad_Emotion,Ad_Emotion,0,4
P00722,19,Male,White,PhD,Conservative,4,2,3,2.6,4,Control,Control,0,5
P00723,23,Female,White,Master,Moderate,3,5,5,1.3,1,Ad_Reason,Ad_Reason,0,1
P00724,48,Female,White,High School,Moderate,4,4,5,2.2,4,Ad_Reason,Ad_Reason,0,2
P00725,42,Female,Hispanic,High School,Moderate,5,4,4,3.0,4,Ad_Reason,Ad_Reason,0,4
P00726,37,Female,Hispanic,Bachelor,Liberal,1,3,3,1.0,2,Ad_Reason,Ad_Reason,0,3
P00727,40,Female,White,PhD,Liberal,3,3,4,4.5,5,Ad_Reason,Ad_Reason,0,3
P00728,44,Female,Black,High School,Moderate,3,2,3,4.8,4,Ad_Reason,Ad_Reason,1,2
P00730,30,Female,White,Bachelor,Liberal,2,1,2,3.4,3,Ad_Emotion,Ad_Emotion,1,5
P00731,42,Male,White,Bachelor,Conservative,5,4,2,3.3,1,Control,Control,0,4
P00732,28,Female,Other,Not Applicable,Conservative,1,5,1,3.5,1,Ad_Reason,Ad_Reason,1,2
P00734,19,Male,White,Master,Liberal,2,4,4,3.2,2,Ad_Emotion,Ad_Emotion,1,3
P00735,52,Male,White,High School,Liberal,3,4,2,1.3,3,Control,Control,1,3
P00736,45,Male,White,Bachelor,Conservative,4,5,5,3.1,3,Ad_Reason,Ad_Reason,0,5
P00737,43,Female,White,Bachelor,Liberal,3,3,4,3.5,2,Control,Control,1,3
P00738,51,Male,Hispanic,High School,Liberal,5,5,3,3.3,2,Ad_Reason,Ad_Reason,1,4
P00739,59,Female,White,Bachelor,Conservative,1,1,4,4.1,4,Ad_Emotion,Ad_Emotion,1,3
P00740,52,Male,Hispanic,High School,Liberal,3,4,4,4.5,5,Ad_Emotion,Ad_Emotion,1,3
P00742,24,Female,White,High School,Moderate,4,5,2,1.9,2,Ad_Emotion,Ad_Emotion,1,3
P00743,32,Female,White,Master,Conservative,1,1,2,4.3,2,Control,Control,1,2
P00744,40,Female,Asian,PhD,Liberal,4,5,3,3.7,4,Ad_Reason,Ad_Reason,0,3
P00745,46,Male,White,Bachelor,Conservative,1,4,4,2.4,4,Ad_Reason,Ad_Reason,1,3
P00746,31,Female,Black,Bachelor,Moderate,5,2,4,2.8,5,Control,Control,1,4
P00747,42,Male,White,High School,Moderate,1,2,2,2.7,2,Ad_Reason,Ad_Reason,1,3
P00748,30,Female,White,PhD,Liberal,2,3,1,3.3,2,Ad_Emotion,Ad_Emotion,0,5
P00749,32,Female,White,Bachelor,Liberal,4,1,2,4.4,4,Ad_Reason,Ad_Reason,1,3
P00750,23,Male,White,Master,Moderate,4,3,3,2.1,3,Ad_Emotion,Ad_Emotion,1,4
P00751,28,Female,Black,Master,Moderate,3,2,1,3.3,5,Control,Control,1,2
P00752,23,Female,White,High School,Conservative,2,1,1,3.3,2,Ad_Reason,Ad_Reason,1,2
P00753,28,Male,Black,Bachelor,Moderate,3,5,3,1.0,1,Control,Control,1,3
P00755,28,Male,White,High School,Moderate,5,4,2,3.2,4,Ad_Emotion,Ad_Emotion,0,3
P00756,71,Female,White,Bachelor,Conservative,4,2,4,4.2,1,Control,Control,0,3
P00757,45,Female,White,Not Applicable,Moderate,5,5,2,1.4,4,Ad_Reason,Ad_Reason,1,4
P00758,42,Male,Hispanic,High School,Liberal,1,1,3,4.9,3,Ad_Emotion,Ad_Emotion,1,3
P00759,29,Male,Black,Master,Conservative,1,5,4,2.6,4,Control,Control,0,2
P00760,48,Female,White,PhD,Moderate,2,3,5,1.0,2,Control,Control,0,4
P00761,33,Female,White,Master,Moderate,3,3,3,1.6,1,Ad_Reason,Ad_Reason,0,5
P00762,41,Male,Hispanic,High School,Moderate,4,3,2,1.8,2,Ad_Reason,Ad_Reason,1,4
P00763,70,Male,Asian,High School,Conservative,4,3,1,2.2,1,Ad_Reason,Ad_Reason,0,4
P00764,38,Female,Black,High School,Liberal,5,3,3,1.7,1,Ad_Emotion,Ad_Emotion,0,3
P00765,53,Male,White,Master,Liberal,2,4,3,3.8,4,Ad_Reason,Ad_Reason,1,3
P00766,31,Male,White,Master,Conservative,1,3,2,3.2,5,Control,Control,1,4
P00768,61,Female,Hispanic,High School,Conservative,4,4,2,3.4,1,Ad_Reason,Ad_Reason,0,2
P00769,32,Male,White,High School,Liberal,3,5,2,2.8,5,Ad_Reason,Ad_Reason,1,4
P00771,48,Male,Asian,Master,Liberal,1,3,5,1.5,1,Ad_Emotion,Ad_Emotion,0,1
P00772,33,Male,White,PhD,Moderate,1,1,3,1.5,4,Ad_Reason,Ad_Reason,0,3
P00773,47,Female,White,Master,Moderate,1,2,1,1.9,5,Ad_Reason,Ad_Reason,0,5
P00774,51,Male,White,Master,Liberal,3,4,2,4.7,5,Control,Control,0,3
P00775,47,Female,White,Master,Liberal,4,2,1,1.5,1,Ad_Reason,Ad_Reason,1,4
P00777,31,Male,White,Bachelor,Moderate,2,3,5,1.9,2,Control,Control,0,3
P00778,37,Male,Hispanic,PhD,Conservative,2,2,2,1.6,3,Ad_Reason,Ad_Reason,0,3
P00779,39,Female,Other,Bachelor,Conservative,4,5,3,3.4,3,Control,Control,1,2
P00780,47,Female,White,Bachelor,Conservative,1,2,2,4.3,4,Ad_Reason,Ad_Reason,0,3
P00781,42,Female,White,High School,Conservative,3,4,3,1.4,1,Ad_Reason,Ad_Reason,0,4
P00782,23,Male,Hispanic,High School,Liberal,4,4,4,2.9,2,Ad_Reason,Ad_Reason,1,3
P00783,44,Female,Asian,Bachelor,Conservative,3,1,3,4.2,3,Ad_Emotion,Ad_Emotion,1,5
P00784,47,Female,Asian,High School,Conservative,5,2,2,3.9,1,Ad_Emotion,Ad_Emotion,1,5
P00786,52,Male,White,Bachelor,Liberal,5,3,3,2.8,2,Ad_Reason,Ad_Reason,1,4
P00787,50,Female,White,High School,Conservative,4,1,1,1.4,1,Ad_Reason,Ad_Reason,0,3
P00788,45,Female,Other,Master,Conservative,2,2,3,3.4,5,Ad_Emotion,Ad_Emotion,1,3
P00789,39,Male,White,Bachelor,Conservative,4,1,4,3.2,3,Ad_Reason,Ad_Reason,1,2
P00790,20,Female,Hispanic,Bachelor,Liberal,5,2,4,3.6,4,Ad_Emotion,Ad_Emotion,1,5
P00791,45,Male,White,High School,Liberal,3,3,1,2.0,3,Ad_Reason,Ad_Reason,1,2
P00792,42,Male,Other,High School,Conservative,4,3,4,2.3,1,Control,Control,1,2
P00793,43,Male,Black,Bachelor,Moderate,2,5,2,4.0,5,Ad_Reason,Ad_Reason,1,3
P00794,24,Female,White,Master,Liberal,5,1,1,4.0,3,Ad_Reason,Ad_Reason,1,5
P00795,27,Male,Black,Master,Conservative,4,5,1,4.7,2,Ad_Emotion,Ad_Emotion,1,4
P00796,52,Male,White,High School,Liberal,5,2,1,4.4,5,Ad_Reason,Ad_Reason,1,3
P00797,39,Female,White,Bachelor,Moderate,5,3,3,1.4,3,Ad_Reason,Ad_Reason,1,4
P00798,48,Male,White,High School,Liberal,1,3,3,4.2,1,Ad_Emotion,Ad_Emotion,1,3
P00799,40,Female,White,Not Applicable,Liberal,3,4,1,3.0,2,Control,Control,0,5
P00800,40,Female,White,Not Applicable,Liberal,1,4,4,3.7,1,Control,Control,0,4
P00801,51,Female,Asian,Bachelor,Liberal,5,5,2,2.7,1,Ad_Emotion,Ad_Emotion,0,4
P00802,33,Female,Black,Bachelor,Liberal,2,1,2,2.1,2,Ad_Emotion,Ad_Emotion,1,4
P00803,41,Female,White,Master,Moderate,2,2,3,2.7,5,Ad_Emotion,Ad_Emotion,1,3
P00804,34,Male,Hispanic,Master,Conservative,1,5,5,3.1,3,Ad_Emotion,Ad_Emotion,0,4
P00806,36,Male,Hispanic,Not Applicable,Liberal,5,3,5,4.0,2,Control,Control,1,3
P00807,42,Female,Black,Bachelor,Liberal,4,3,2,2.0,3,Control,Control,1,4
P00808,34,Male,White,Bachelor,Conservative,5,2,3,1.9,2,Ad_Emotion,Ad_Emotion,1,4
P00809,55,Female,White,Master,Conservative,4,5,3,1.4,4,Ad_Reason,Ad_Reason,1,4
P00810,29,Female,Black,Bachelor,Liberal,2,2,3,2.8,4,Ad_Emotion,Ad_Emotion,1,3
P00811,37,Female,White,Master,Liberal,3,3,3,2.1,5,Ad_Reason,Ad_Reason,1,3
P00812,34,Male,White,High School,Moderate,3,4,3,2.7,2,Ad_Emotion,Ad_Emotion,1,4
P00813,57,Male,White,High School,Conservative,5,5,1,3.0,3,Ad_Emotion,Ad_Emotion,1,2
P00814,42,Female,White,High School,Moderate,5,4,5,1.2,5,Control,Control,1,3
P00815,52,Female,White,Bachelor,Moderate,2,5,2,2.4,4,Ad_Reason,Ad_Reason,0,4
P00817,43,Female,White,Not Applicable,Conservative,3,4,3,3.1,4,Control,Control,0,2
P00818,50,Female,Black,Bachelor,Liberal,5,4,3,2.6,5,Control,Control,0,3
P00819,40,Male,White,Master,Conservative,3,5,3,3.0,3,Control,Control,1,3
P00820,52,Female,White,High School,Liberal,5,4,4,2.7,4,Control,Control,0,4
P00821,33,Female,White,Master,Conservative,1,4,2,2.0,5,Ad_Reason,Ad_Reason,1,4
P00822,56,Male,White,Bachelor,Moderate,3,3,3,1.8,5,Ad_Reason,Ad_Reason,0,1
P00823,67,Male,White,Bachelor,Moderate,4,5,5,5.0,1,Ad_Emotion,Ad_Emotion,0,4
P00824,35,Female,White,High School,Moderate,2,5,4,3.6,1,Ad_Emotion,Ad_Emotion,0,3
P00825,34,Female,White,Bachelor,Liberal,5,1,1,4.1,3,Control,Control,0,3
P00827,58,Female,White,Bachelor,Moderate,3,3,4,4.4,1,Control,Control,0,5
P00828,33,Female,White,PhD,Moderate,5,4,4,3.6,3,Ad_Emotion,Ad_Emotion,1,3
P00829,34,Female,White,PhD,Liberal,4,1,5,1.0,1,Ad_Emotion,Ad_Emotion,0,4
P00830,36,Male,Black,Not Applicable,Conservative,3,4,2,2.2,4,Ad_Emotion,Ad_Emotion,0,5
P00832,28,Male,Asian,Not Applicable,Moderate,2,2,5,3.2,4,Ad_Emotion,Ad_Emotion,1,4
P00833,27,Male,White,Master,Liberal,5,4,5,3.1,1,Ad_Emotion,Ad_Emotion,1,2
P00834,30,Male,White,High School,Moderate,3,5,3,1.9,4,Ad_Emotion,Ad_Emotion,0,2
P00835,39,Female,White,Bachelor,Liberal,2,3,4,2.4,5,Control,Control,1,3
P00836,42,Female,Hispanic,High School,Moderate,5,5,1,3.2,2,Control,Control,0,4
P00837,58,Male,White,High School,Liberal,5,1,4,3.0,5,Control,Control,1,2
P00838,28,Female,Other,High School,Liberal,5,2,4,3.8,1,Control,Control,1,2
P00839,51,Male,Black,High School,Conservative,4,2,2,1.9,5,Ad_Emotion,Ad_Emotion,1,3
P00840,37,Male,Black,Master,Moderate,1,2,4,3.5,3,Ad_Reason,Ad_Reason,0,4
P00841,39,Other,White,Bachelor,Liberal,5,3,1,2.4,4,Ad_Emotion,Ad_Emotion,1,2
P00842,48,Female,Black,High School,Liberal,4,2,5,2.6,2,Ad_Reason,Ad_Reason,0,4
P00843,26,Male,White,Master,Conservative,5,4,4,2.9,2,Control,Control,1,3
P00844,44,Female,White,Master,Liberal,5,3,5,1.3,4,Ad_Emotion,Ad_Emotion,0,4
P00845,41,Male,White,Not Applicable,Conservative,4,5,2,3.1,4,Control,Control,0,3
P00846,45,Male,Hispanic,Bachelor,Moderate,1,1,1,4.3,3,Ad_Emotion,Ad_Emotion,1,5
P00847,43,Female,White,Bachelor,Liberal,2,3,3,1.8,5,Control,Control,0,2
P00848,69,Female,White,High School,Conservative,3,1,3,4.9,2,Ad_Reason,Ad_Reason,1,3
P00849,32,Male,White,High School,Conservative,5,3,2,2.4,1,Ad_Reason,Ad_Reason,1,2
P00850,33,Female,Black,High School,Liberal,1,5,1,3.6,4,Ad_Reason,Ad_Reason,1,2
P00851,32,Female,Black,Bachelor,Moderate,3,1,5,1.7,4,Ad_Emotion,Ad_Emotion,1,3
P00853,32,Female,White,High School,Conservative,3,1,4,1.9,4,Ad_Emotion,Ad_Emotion,1,5
P00856,33,Female,White,Master,Liberal,1,2,4,3.0,1,Ad_Emotion,Ad_Emotion,0,3
P00857,30,Female,Hispanic,High School,Liberal,2,4,5,3.1,2,Ad_Emotion,Ad_Emotion,1,2
P00858,45,Male,White,Bachelor,Liberal,2,2,4,2.7,4,Ad_Reason,Ad_Reason,1,2
P00859,33,Female,White,High School,Liberal,3,2,3,2.3,3,Ad_Emotion,Ad_Emotion,1,4
P00860,47,Female,White,Bachelor,Moderate,4,5,5,3.0,3,Ad_Reason,Ad_Reason,1,4
P00862,21,Female,White,Bachelor,Liberal,5,1,3,3.3,3,Control,Control,0,3
P00863,58,Female,White,High School,Moderate,1,2,2,3.5,4,Control,Control,0,1
P00865,32,Male,White,Bachelor,Liberal,3,3,2,3.6,5,Control,Control,1,3
P00866,35,Male,Hispanic,Master,Liberal,1,2,5,3.1,1,Control,Control,1,3
P00867,43,Female,White,Bachelor,Liberal,1,2,2,2.7,2,Ad_Reason,Ad_Reason,1,3
P00868,44,Male,Asian,Bachelor,Conservative,2,4,1,1.5,3,Control,Control,0,1
P00869,47,Female,White,High School,Moderate,2,3,4,3.2,2,Control,Control,0,2
P00870,64,Male,White,Bachelor,Liberal,1,2,5,4.1,2,Control,Control,0,3
P00872,30,Male,White,Bachelor,Liberal,5,1,3,2.3,5,Ad_Emotion,Ad_Emotion,1,4
P00873,23,Male,White,Master,Moderate,3,2,2,4.3,4,Ad_Reason,Ad_Reason,1,5
P00874,31,Female,White,Master,Moderate,5,2,3,4.6,4,Control,Control,1,3
P00875,39,Male,Black,Master,Moderate,1,2,1,2.2,4,Control,Control,1,3
P00876,61,Male,White,High School,Liberal,5,2,3,5.0,5,Control,Control,1,2
P00878,42,Female,Other,High School,Conservative,1,3,3,3.9,5,Ad_Emotion,Ad_Emotion,1,2
P00880,54,Female,White,Bachelor,Conservative,5,1,4,3.3,2,Ad_Emotion,Ad_Emotion,0,4
P00881,70,Female,White,High School,Liberal,5,5,3,3.4,5,Control,Control,1,4
P00882,33,Female,Black,Master,Conservative,4,2,5,2.1,5,Control,Control,0,3
P00883,34,Female,White,Bachelor,Conservative,4,1,3,4.7,3,Ad_Reason,Ad_Reason,0,4
P00884,52,Female,White,High School,Conservative,1,5,4,3.0,2,Ad_Reason,Ad_Reason,0,2
P00885,48,Female,White,High School,Liberal,3,2,4,2.5,4,Ad_Emotion,Ad_Emotion,1,3
P00886,62,Male,White,Bachelor,Conservative,4,2,1,1.8,1,Ad_Emotion,Ad_Emotion,1,4
P00887,47,Male,White,PhD,Liberal,5,5,2,3.6,5,Ad_Reason,Ad_Reason,0,3
P00888,35,Male,White,Bachelor,Moderate,4,4,1,3.3,5,Ad_Emotion,Ad_Emotion,1,2
P00889,47,Female,Asian,Not Applicable,Liberal,1,5,5,2.0,1,Ad_Reason,Ad_Reason,1,4
P00890,53,Female,White,High School,Conservative,1,5,2,3.1,5,Ad_Emotion,Ad_Emotion,1,4
P00891,49,Female,White,Bachelor,Conservative,5,3,3,3.5,5,Ad_Reason,Ad_Reason,0,2
P00892,46,Male,White,Master,Liberal,5,2,3,2.6,5,Ad_Reason,Ad_Reason,1,5
P00893,52,Female,White,Bachelor,Moderate,5,2,5,3.4,1,Ad_Reason,Ad_Reason,0,3
P00894,54,Male,White,High School,Liberal,3,4,4,3.0,3,Ad_Emotion,Ad_Emotion,1,3
P00895,56,Male,Black,Bachelor,Moderate,5,4,3,2.8,3,Ad_Emotion,Ad_Emotion,1,1
P00897,37,Male,White,Master,Liberal,1,3,4,3.2,3,Ad_Reason,Ad_Reason,1,3
P00898,41,Female,White,Master,Conservative,4,3,3,1.0,4,Ad_Emotion,Ad_Emotion,0,4
P00899,54,Male,White,Master,Liberal,5,4,4,4.4,4,Ad_Emotion,Ad_Emotion,0,2
P00900,30,Male,Hispanic,Bachelor,Moderate,3,5,2,4.2,1,Ad_Reason,Ad_Reason,0,1
P00901,44,Female,Asian,High School,Conservative,2,2,3,2.0,2,Control,Control,1,4
P00902,35,Female,Hispanic,Bachelor,Conservative,4,2,3,1.6,5,Ad_Reason,Ad_Reason,1,5
P00903,40,Female,White,Master,Conservative,3,1,4,4.2,2,Ad_Emotion,Ad_Emotion,1,3
P00904,55,Male,Other,Not Applicable,Liberal,5,4,2,2.8,5,Ad_Reason,Ad_Reason,1,3
P00905,42,Female,White,High School,Conservative,3,4,1,3.1,3,Control,Control,0,4
P00906,40,Female,White,Bachelor,Liberal,2,3,2,3.0,3,Ad_Reason,Ad_Reason,0,2
P00907,23,Male,Hispanic,High School,Conservative,3,1,1,1.7,4,Ad_Emotion,Ad_Emotion,0,5
P00908,48,Female,Hispanic,High School,Conservative,2,1,5,3.8,2,Control,Control,1,2
P00909,47,Male,White,Bachelor,Conservative,2,4,2,3.4,1,Ad_Emotion,Ad_Emotion,0,3
P00910,65,Male,White,Bachelor,Liberal,2,3,1,3.0,5,Control,Control,0,2
P00911,36,Female,White,High School,Moderate,3,2,4,1.0,3,Control,Control,0,2
P00912,42,Female,White,Master,Conservative,5,3,1,3.5,5,Ad_Reason,Ad_Reason,1,3
P00913,42,Male,White,Master,Conservative,1,2,5,3.4,1,Ad_Reason,Ad_Reason,0,3
P00914,58,Female,Other,Not Applicable,Liberal,1,4,1,2.9,5,Ad_Emotion,Ad_Emotion,1,5
P00915,38,Female,Black,High School,Conservative,3,3,2,4.0,4,Ad_Reason,Ad_Reason,1,4
P00916,43,Female,Asian,Bachelor,Liberal,5,1,1,4.1,1,Ad_Reason,Ad_Reason,0,4
P00917,47,Male,Asian,Bachelor,Moderate,1,5,2,3.3,1,Control,Control,0,2
P00918,42,Female,White,High School,Moderate,2,1,5,1.5,5,Ad_Reason,Ad_Reason,1,3
P00919,34,Male,Hispanic,Bachelor,Liberal,3,2,1,1.7,5,Control,Control,1,2
P00920,42,Female,White,Master,Liberal,3,4,1,2.3,3,Control,Control,1,2
P00921,52,Male,White,High School,Conservative,4,3,5,2.8,5,Control,Control,1,3
P00922,27,Male,White,Not Applicable,Liberal,4,4,1,3.8,1,Ad_Emotion,Ad_Emotion,1,3
P00923,41,Female,White,Master,Liberal,4,4,2,3.3,5,Ad_Emotion,Ad_Emotion,1,4
P00924,31,Male,Hispanic,Master,Conservative,5,2,3,2.8,3,Ad_Emotion,Ad_Emotion,1,5
P00925,54,Male,Other,Master,Conservative,3,4,3,3.6,2,Control,Control,0,2
P00926,21,Male,White,Bachelor,Moderate,4,3,2,2.2,4,Ad_Emotion,Ad_Emotion,0,5
P00927,33,Female,Asian,Master,Liberal,3,1,1,3.6,1,Ad_Emotion,Ad_Emotion,1,4
P00928,44,Male,White,Bachelor,Liberal,2,4,2,3.2,3,Ad_Reason,Ad_Reason,1,4
P00929,58,Female,Asian,PhD,Conservative,4,3,5,3.5,4,Ad_Emotion,Ad_Emotion,1,4
P00930,39,Male,White,High School,Moderate,3,3,2,3.8,5,Ad_Emotion,Ad_Emotion,0,3
P00931,33,Male,White,High School,Moderate,5,2,3,3.0,5,Control,Control,1,3
P00932,62,Male,White,Bachelor,Conservative,5,4,4,1.0,2,Control,Control,0,3
P00933,22,Female,Black,High School,Moderate,5,2,5,2.3,5,Control,Control,1,2
P00934,18,Male,White,Bachelor,Liberal,4,1,1,3.8,4,Control,Control,1,2
P00935,45,Male,Hispanic,Bachelor,Conservative,5,1,2,2.4,3,Control,Control,1,4
P00936,33,Female,White,Master,Moderate,1,3,5,2.3,2,Control,Control,1,1
P00937,27,Female,Hispanic,Bachelor,Moderate,2,4,3,3.1,4,Ad_Emotion,Ad_Emotion,1,5
P00938,48,Male,Black,High School,Conservative,3,3,1,4.1,3,Control,Control,1,4
P00939,42,Male,White,High School,Conservative,1,4,2,3.5,4,Control,Control,0,2
P00940,33,Female,White,Bachelor,Moderate,4,2,2,4.7,5,Ad_Reason,Ad_Reason,0,3
P00941,24,Male,Asian,Bachelor,Liberal,3,1,1,3.4,4,Ad_Emotion,Ad_Emotion,1,2
P00942,50,Male,Black,Master,Conservative,3,1,4,3.4,2,Ad_Emotion,Ad_Emotion,1,4
P00943,47,Female,Black,High School,Moderate,5,2,4,2.8,4,Ad_Emotion,Ad_Emotion,1,5
P00944,38,Female,White,High School,Moderate,3,5,5,1.4,1,Control,Control,1,2
